#EXPORTTYPE:DATA ALL
#FILE:Mel+Bar_m=2.56ìã_30-400-20 C_1Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:19.06.2026 13:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,62 ìã  çàïðåññîâàí  äî ýêñïåð. m=42,38 ìã
#SAMPLE:Mel+Bar
#SAMPLE MASS /mg:2.56
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/1,0(K/min)/400°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/1,0(K/min)/400°C
#SEG. 2:400°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 29.84400;  0.00000;-0.32887;120.00000;150.00000;2.74266;1
 29.85219;  0.02500;-0.32898;120.00000;150.00000;2.74268;1
 29.85989;  0.05000;-0.33016;120.00000;150.00000;2.74271;1
 29.86859;  0.07500;-0.33103;120.00000;150.00000;2.74273;1
 29.87789;  0.10000;-0.32983;120.00000;150.00000;2.74276;1
 29.88806;  0.12500;-0.32971;120.00000;150.00000;2.74279;1
 29.89912;  0.15000;-0.32992;120.00000;150.00000;2.74282;1
 29.91120;  0.17500;-0.32872;120.00000;150.00000;2.74285;1
 29.92418;  0.20000;-0.32762;120.00000;150.00000;2.74289;1
 29.93821;  0.22500;-0.32772;120.00000;150.00000;2.74293;1
 29.95312;  0.25000;-0.32782;119.00000;150.00000;2.74297;1
 29.96903;  0.27500;-0.32835;119.00000;150.00000;2.74301;1
 29.98602;  0.30000;-0.32812;119.00000;150.00000;2.74306;1
 30.00399;  0.32500;-0.32778;119.00000;150.00000;2.74311;1
 30.02296;  0.35000;-0.32886;119.00000;150.00000;2.74317;1
 30.04294;  0.37500;-0.32895;119.00000;150.00000;2.74322;1
 30.06395;  0.40000;-0.32926;119.00000;150.00000;2.74328;1
 30.08593;  0.42500;-0.32957;119.00000;150.00000;2.74335;1
 30.10885;  0.45000;-0.33054;119.00000;150.00000;2.74341;1
 30.13269;  0.47500;-0.33041;119.00000;150.00000;2.74348;1
 30.15736;  0.50000;-0.33126;119.00000;150.00000;2.74355;1
 30.18284;  0.52500;-0.33103;119.00000;150.00000;2.74362;1
 30.20913;  0.55000;-0.33199;119.00000;150.00000;2.74369;1
 30.23614;  0.57500;-0.33208;119.00000;150.00000;2.74377;1
 30.26377;  0.60000;-0.33206;119.00000;150.00000;2.74385;1
 30.29201;  0.62500;-0.33215;119.00000;150.00000;2.74393;1
 30.32076;  0.65000;-0.33235;119.00000;150.00000;2.74401;1
 30.34999;  0.67500;-0.33265;119.00000;150.00000;2.74409;1
 30.37963;  0.70000;-0.33296;119.00000;150.00000;2.74418;1
 30.40962;  0.72500;-0.33380;119.00000;150.00000;2.74426;1
 30.43992;  0.75000;-0.33454;118.00000;150.00000;2.74435;1
 30.47047;  0.77500;-0.33452;118.00000;150.00000;2.74443;1
 30.50123;  0.80000;-0.33493;118.00000;150.00000;2.74452;1
 30.53214;  0.82500;-0.33534;118.00000;150.00000;2.74461;1
 30.56314;  0.85000;-0.33532;118.00000;150.00000;2.74469;1
 30.59423;  0.87500;-0.33573;118.00000;150.00000;2.74478;1
 30.62537;  0.90000;-0.33712;118.00000;150.00000;2.74487;1
 30.65648;  0.92500;-0.33786;118.00000;150.00000;2.74496;1
 30.68757;  0.95000;-0.33794;118.00000;150.00000;2.74504;1
 30.71861;  0.97500;-0.33803;118.00000;150.00000;2.74513;1
 30.74956;  1.00000;-0.33854;118.00000;150.00000;2.74522;1
 30.77644;  1.02500;-0.33885;118.00000;150.00000;2.74529;1
 30.80357;  1.05000;-0.33893;118.00000;150.00000;2.74537;1
 30.83097;  1.07500;-0.34010;118.00000;150.00000;2.74545;1
 30.85861;  1.10000;-0.33943;118.00000;150.00000;2.74552;1
 30.88647;  1.12500;-0.34016;118.00000;150.00000;2.74560;1
 30.91453;  1.15000;-0.34057;118.00000;150.00000;2.74568;1
 30.94282;  1.17500;-0.34087;118.00000;150.00000;2.74576;1
 30.97131;  1.20000;-0.34085;118.00000;150.00000;2.74584;1
 30.99999;  1.22500;-0.34072;117.00000;150.00000;2.74592;1
 31.02882;  1.25000;-0.34123;117.00000;150.00000;2.74600;1
 31.05783;  1.27500;-0.34175;117.00000;150.00000;2.74609;1
 31.08700;  1.30000;-0.34184;117.00000;150.00000;2.74617;1
 31.11630;  1.32500;-0.34235;117.00000;150.00000;2.74625;1
 31.14573;  1.35000;-0.34211;117.00000;150.00000;2.74633;1
 31.17529;  1.37500;-0.34328;117.00000;150.00000;2.74641;1
 31.20494;  1.40000;-0.34326;117.00000;150.00000;2.74650;1
 31.23469;  1.42500;-0.34312;117.00000;150.00000;2.74658;1
 31.26451;  1.45000;-0.34375;117.00000;150.00000;2.74667;1
 31.29442;  1.47500;-0.34394;117.00000;150.00000;2.74675;1
 31.32439;  1.50000;-0.34381;117.00000;150.00000;2.74683;1
 31.35441;  1.52500;-0.34400;116.00000;150.00000;2.74692;1
 31.38446;  1.55000;-0.34398;116.00000;150.00000;2.74700;1
 31.41453;  1.57500;-0.34395;116.00000;150.00000;2.74709;1
 31.44461;  1.60000;-0.34414;116.00000;150.00000;2.74717;1
 31.47471;  1.62500;-0.34434;116.00000;150.00000;2.74725;1
 31.50480;  1.65000;-0.34453;116.00000;150.00000;2.74734;1
 31.53487;  1.67500;-0.34418;116.00000;150.00000;2.74742;1
 31.56491;  1.70000;-0.34416;116.00000;150.00000;2.74751;1
 31.59491;  1.72500;-0.34435;116.00000;150.00000;2.74759;1
 31.62486;  1.75000;-0.34422;116.00000;150.00000;2.74767;1
 31.65475;  1.77500;-0.34387;115.00000;150.00000;2.74776;1
 31.68457;  1.80000;-0.34374;115.00000;150.00000;2.74784;1
 31.71429;  1.82500;-0.34382;115.00000;150.00000;2.74793;1
 31.74396;  1.85000;-0.34358;115.00000;150.00000;2.74801;1
 31.77353;  1.87500;-0.34389;115.00000;150.00000;2.74809;1
 31.80302;  1.90000;-0.34440;115.00000;150.00000;2.74817;1
 31.83239;  1.92500;-0.34449;115.00000;150.00000;2.74826;1
 31.86165;  1.95000;-0.34403;115.00000;150.00000;2.74834;1
 31.89078;  1.97500;-0.34379;115.00000;150.00000;2.74842;1
 31.91978;  2.00000;-0.34399;116.00000;150.00000;2.74850;1
 31.94867;  2.02500;-0.34397;116.00000;150.00000;2.74858;1
 31.97744;  2.05000;-0.34384;115.00000;150.00000;2.74866;1
 32.00607;  2.07500;-0.34349;115.00000;150.00000;2.74874;1
 32.03455;  2.10000;-0.34347;115.00000;150.00000;2.74882;1
 32.06290;  2.12500;-0.34356;115.00000;150.00000;2.74890;1
 32.09111;  2.15000;-0.34365;115.00000;150.00000;2.74898;1
 32.11919;  2.17500;-0.34384;115.00000;150.00000;2.74906;1
 32.14713;  2.20000;-0.34382;115.00000;150.00000;2.74913;1
 32.17491;  2.22500;-0.34369;115.00000;150.00000;2.74921;1
 32.20256;  2.25000;-0.34356;115.00000;150.00000;2.74929;1
 32.23007;  2.27500;-0.34333;115.00000;150.00000;2.74937;1
 32.25744;  2.30000;-0.34309;115.00000;150.00000;2.74944;1
 32.28468;  2.32500;-0.34253;115.00000;150.00000;2.74952;1
 32.31177;  2.35000;-0.34348;115.00000;150.00000;2.74959;1
 32.33873;  2.37500;-0.34270;115.00000;150.00000;2.74967;1
 32.36554;  2.40000;-0.34301;115.00000;150.00000;2.74974;1
 32.39221;  2.42500;-0.34288;115.00000;150.00000;2.74982;1
 32.41875;  2.45000;-0.34275;115.00000;150.00000;2.74989;1
 32.44517;  2.47500;-0.34263;115.00000;150.00000;2.74996;1
 32.47145;  2.50000;-0.34315;115.00000;150.00000;2.75004;1
 32.49762;  2.52500;-0.34226;115.00000;150.00000;2.75011;1
 32.52366;  2.55000;-0.34257;115.00000;150.00000;2.75018;1
 32.54959;  2.57500;-0.34277;115.00000;150.00000;2.75025;1
 32.57540;  2.60000;-0.34242;115.00000;150.00000;2.75033;1
 32.60111;  2.62500;-0.34251;115.00000;150.00000;2.75040;1
 32.62672;  2.65000;-0.34239;115.00000;150.00000;2.75047;1
 32.65224;  2.67500;-0.34280;115.00000;150.00000;2.75054;1
 32.67767;  2.70000;-0.34235;115.00000;150.00000;2.75061;1
 32.70300;  2.72500;-0.34233;115.00000;150.00000;2.75068;1
 32.72824;  2.75000;-0.34275;114.00000;150.00000;2.75075;1
 32.75341;  2.77500;-0.34251;114.00000;150.00000;2.75082;1
 32.77849;  2.80000;-0.34195;114.00000;150.00000;2.75089;1
 32.80351;  2.82500;-0.34237;114.00000;150.00000;2.75096;1
 32.82845;  2.85000;-0.34267;114.00000;150.00000;2.75103;1
 32.85333;  2.87500;-0.34276;114.00000;150.00000;2.75110;1
 32.87815;  2.90000;-0.34264;114.00000;150.00000;2.75117;1
 32.90292;  2.92500;-0.34240;114.00000;150.00000;2.75124;1
 32.92763;  2.95000;-0.34195;114.00000;150.00000;2.75130;1
 32.95230;  2.97500;-0.34269;114.00000;150.00000;2.75137;1
 32.97693;  3.00000;-0.34278;114.00000;150.00000;2.75144;1
 33.00153;  3.02500;-0.34287;114.00000;150.00000;2.75151;1
 33.02611;  3.05000;-0.34242;114.00000;150.00000;2.75158;1
 33.05064;  3.07500;-0.34273;114.00000;150.00000;2.75165;1
 33.07516;  3.10000;-0.34228;114.00000;150.00000;2.75171;1
 33.09967;  3.12500;-0.34237;114.00000;150.00000;2.75178;1
 33.12416;  3.15000;-0.34213;114.00000;150.00000;2.75185;1
 33.14864;  3.17500;-0.34222;114.00000;150.00000;2.75192;1
 33.17311;  3.20000;-0.34242;114.00000;150.00000;2.75198;1
 33.19759;  3.22500;-0.34229;114.00000;150.00000;2.75205;1
 33.22208;  3.25000;-0.34260;114.00000;150.00000;2.75212;1
 33.24657;  3.27500;-0.34312;114.00000;150.00000;2.75219;1
 33.27105;  3.30000;-0.34256;114.00000;150.00000;2.75226;1
