#EXPORTTYPE:DATA SINGLE
#FILE:M-TBA_m=6.03Ï„_30-590-20 C_3Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:02
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:23.04.2025 15:30
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:ÚË„ÂÎ¸:  m=23.78 Ï„  Á‡ÔÂÒÒÓ‚‡Ì
#SAMPLE:M-TBA
#SAMPLE MASS /mg:6.03
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30∞C/3,0(K/min)/590∞C/30,0(K/min)/20∞C/
#SEGMENT:S1/2
#SEG. 1:30∞C/3,0(K/min)/590∞C
#SEG. 2:590∞C/30,0(K/min)/20∞C

##Temp./∞C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
277.53377;82.50000;    -0.21000;2.76255;1
277.53587;82.50070;    -0.21000;2.76255;1
277.53797;82.50140;    -0.21000;2.76254;1
277.54007;82.50210;    -0.20999;2.76254;1
277.54217;82.50279;    -0.21000;2.76253;1
277.54426;82.50349;    -0.20999;2.76252;1
277.54636;82.50419;    -0.20999;2.76252;1
277.54846;82.50489;    -0.20999;2.76251;1
277.55056;82.50559;    -0.21001;2.76251;1
277.55266;82.50629;    -0.21003;2.76250;1
277.55476;82.50699;    -0.21004;2.76250;1
277.55686;82.50769;    -0.21004;2.76249;1
277.55896;82.50838;    -0.21004;2.76248;1
277.56106;82.50908;    -0.21006;2.76248;1
277.56315;82.50978;    -0.21008;2.76247;1
277.56525;82.51048;    -0.21010;2.76247;1
277.56735;82.51118;    -0.21012;2.76246;1
277.56945;82.51188;    -0.21014;2.76246;1
277.57155;82.51258;    -0.21016;2.76245;1
277.57365;82.51328;    -0.21018;2.76244;1
277.57574;82.51397;    -0.21020;2.76244;1
277.57784;82.51467;    -0.21022;2.76243;1
277.57994;82.51537;    -0.21023;2.76243;1
277.58204;82.51607;    -0.21023;2.76242;1
277.58414;82.51677;    -0.21023;2.76242;1
277.58624;82.51747;    -0.21023;2.76241;1
277.58833;82.51817;    -0.21023;2.76241;1
277.59043;82.51887;    -0.21021;2.76240;1
277.59253;82.51956;    -0.21019;2.76239;1
277.59463;82.52026;    -0.21018;2.76239;1
277.59673;82.52096;    -0.21018;2.76238;1
277.59882;82.52166;    -0.21018;2.76238;1
277.60092;82.52236;    -0.21018;2.76237;1
277.60302;82.52306;    -0.21018;2.76237;1
277.60512;82.52376;    -0.21018;2.76236;1
277.60722;82.52446;    -0.21018;2.76235;1
277.60932;82.52515;    -0.21018;2.76235;1
277.61141;82.52585;    -0.21018;2.76234;1
277.61351;82.52655;    -0.21018;2.76234;1
277.61561;82.52725;    -0.21018;2.76233;1
277.61771;82.52795;    -0.21019;2.76233;1
277.61981;82.52865;    -0.21017;2.76232;1
277.62191;82.52935;    -0.21015;2.76231;1
277.62401;82.53005;    -0.21013;2.76231;1
277.62610;82.53074;    -0.21014;2.76230;1
277.62820;82.53144;    -0.21014;2.76230;1
277.63030;82.53214;    -0.21012;2.76229;1
277.63240;82.53284;    -0.21010;2.76229;1
277.63450;82.53354;    -0.21009;2.76228;1
277.63660;82.53424;    -0.21009;2.76228;1
277.63870;82.53494;    -0.21009;2.76227;1
277.64080;82.53564;    -0.21007;2.76226;1
277.64289;82.53633;    -0.21005;2.76226;1
277.64499;82.53703;    -0.21005;2.76225;1
277.64709;82.53773;    -0.21007;2.76225;1
277.64919;82.53843;    -0.21009;2.76224;1
277.65129;82.53913;    -0.21009;2.76224;1
277.65338;82.53983;    -0.21009;2.76223;1
277.65548;82.54053;    -0.21010;2.76222;1
277.65758;82.54123;    -0.21012;2.76222;1
277.65968;82.54192;    -0.21014;2.76221;1
277.66178;82.54262;    -0.21015;2.76221;1
277.66388;82.54332;    -0.21014;2.76220;1
277.66597;82.54402;    -0.21012;2.76220;1
277.66807;82.54472;    -0.21010;2.76219;1
277.67017;82.54542;    -0.21009;2.76218;1
277.67227;82.54612;    -0.21009;2.76218;1
277.67437;82.54682;    -0.21009;2.76217;1
277.67646;82.54751;    -0.21007;2.76217;1
277.67856;82.54821;    -0.21005;2.76216;1
277.68066;82.54891;    -0.21003;2.76216;1
