#EXPORTTYPE:DATA ALL
#FILE:Mel_m=3.89ìã_30-600-20 C_5Kmin.ngb-sd7
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:01
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 204F1 Phoenix
#PROJECT:
#DATE/TIME:17.06.2026 18:01
#CORR. FILE:
#TEMPCAL:13.02.2020_concavus.ngb-td7
#SENSITIVITY:24.09.2020_sensitivity.ngb-ed7
#LABORATORY:
#OPERATOR:
#REMARK:òèãåëü:  m=23,55 ìã  çàïðåññîâàí  äî ýêñïåð. m=46,05 ìã
#SAMPLE:Mel
#SAMPLE MASS /mg:3.89
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Pan Al, open
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:30°C/5,0(K/min)/600°C/30,0(K/min)/20°C/
#SEGMENT:S1-2/2
#SEG. 1:30°C/5,0(K/min)/600°C
#SEG. 2:600°C/30,0(K/min)/20°C

##Temp./°C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 29.57400;  0.00000;    -0.21678;100.00000;150.00000;2.74189;1
 29.57426;  0.00850;    -0.21679;100.00000;150.00000;2.74190;1
 29.57344;  0.01700;    -0.21693;100.00000;150.00000;2.74189;1
 29.57247;  0.02550;    -0.21697;100.00000;150.00000;2.74189;1
 29.57162;  0.03400;    -0.21678;100.00000;150.00000;2.74189;1
 29.57087;  0.04250;    -0.21671;100.00000;150.00000;2.74189;1
 29.57027;  0.05100;    -0.21656;100.00000;150.00000;2.74188;1
 29.56981;  0.05950;    -0.21655;100.00000;150.00000;2.74188;1
 29.56945;  0.06800;    -0.21671;100.00000;150.00000;2.74188;1
 29.56928;  0.07650;    -0.21699;100.00000;150.00000;2.74188;1
 29.56932;  0.08500;    -0.21700;100.00000;150.00000;2.74188;1
 29.56947;  0.09350;    -0.21714;100.00000;150.00000;2.74188;1
 29.56994;  0.10200;    -0.21721;100.00000;150.00000;2.74188;1
 29.57064;  0.11050;    -0.21742;100.00000;150.00000;2.74189;1
 29.57156;  0.11900;    -0.21749;100.00000;150.00000;2.74189;1
 29.57274;  0.12750;    -0.21757;100.00000;150.00000;2.74189;1
 29.57423;  0.13600;    -0.21767;100.00000;150.00000;2.74190;1
 29.57602;  0.14450;    -0.21829;100.00000;150.00000;2.74190;1
 29.57815;  0.15300;    -0.21920;100.00000;150.00000;2.74191;1
 29.58064;  0.16150;    -0.21935;100.00000;150.00000;2.74191;1
