# Activation energy Ea(alpha) by method, kJ/mol, and regression R-squared.
alpha,Ea_Friedman_kJ/mol,Ea_Vyazovkin_kJ/mol,Ea_KAS_kJ/mol,Ea_OFW_kJ/mol,Ea_Starink_kJ/mol,R2_Friedman,R2_KAS,R2_OFW,R2_Starink
0.05,351.891,360.345,428.566,420,428.751,0.939774,0.987362,0.988083,0.987392
0.1,339.295,339.873,399.701,392.627,399.912,0.930741,0.977167,0.978563,0.977226
0.15,322.457,329.953,384.335,378.065,384.56,0.941881,0.971883,0.973667,0.971958
0.2,317.38,320.783,374.184,368.451,374.419,0.969222,0.971459,0.973321,0.971537
0.25,311.657,314.33,366.678,361.346,366.92,0.987068,0.973564,0.975328,0.973638
0.3,306.005,309.236,360.679,355.67,360.927,0.992178,0.976747,0.978328,0.976813
0.35,305.218,304.814,355.473,350.745,355.726,0.995802,0.979487,0.980905,0.979546
0.4,305.344,305.2,351.242,346.745,351.5,0.996864,0.981958,0.983222,0.982012
0.45,308.188,306.467,347.754,343.45,348.015,0.99776,0.984013,0.985145,0.98406
0.5,310.481,309.457,344.929,340.784,345.193,0.997931,0.985767,0.986784,0.98581
0.55,318.847,314.018,342.72,338.704,342.986,0.997531,0.987186,0.988108,0.987225
0.6,328.28,323.328,341.377,337.447,341.646,0.998722,0.988445,0.989281,0.988481
0.65,345.815,336.748,341.159,337.261,341.429,0.999214,0.989693,0.990439,0.989724
0.7,368.727,357.374,342.683,338.731,342.952,0.999615,0.990928,0.991582,0.990955
0.75,386.175,378.462,346.153,342.055,346.421,0.99977,0.992158,0.992718,0.992182
0.8,390.954,390.193,350.81,346.509,351.075,0.999603,0.993314,0.993785,0.993334
0.85,383.398,387.631,355.09,350.608,355.353,0.999232,0.994273,0.994672,0.99429
0.9,379.031,380.384,358.432,353.819,358.693,0.999033,0.995073,0.995413,0.995088
0.95,424.46,396.36,364.94,360.051,365.198,0.999963,0.99626,0.996513,0.996271
