# Activation energy Ea(alpha) by method, kJ/mol, and regression R-squared.
alpha,Ea_Friedman_kJ/mol,Ea_Vyazovkin_kJ/mol,Ea_KAS_kJ/mol,Ea_OFW_kJ/mol,Ea_Starink_kJ/mol,R2_Friedman,R2_KAS,R2_OFW,R2_Starink
0.05,313.243,294.803,290.714,286.164,290.893,0.997253,0.997925,0.998074,0.997931
0.1,322.228,317.986,299.271,294.363,299.445,0.996801,0.997499,0.997674,0.997507
0.15,327.66,325.035,304.451,299.325,304.622,0.996509,0.997227,0.997418,0.997235
0.2,331.638,329.697,308.246,302.96,308.415,0.996286,0.997019,0.997222,0.997028
0.25,334.824,333.262,311.286,305.872,311.454,0.996102,0.996848,0.997061,0.996857
0.3,337.515,336.191,313.855,308.332,314.022,0.995944,0.9967,0.996921,0.99671
0.35,339.872,338.71,316.105,310.487,316.271,0.995802,0.996568,0.996796,0.996578
0.4,341.992,340.946,318.13,312.426,318.295,0.995673,0.996447,0.996682,0.996457
0.45,343.94,342.978,319.99,314.207,320.154,0.995552,0.996335,0.996576,0.996345
0.5,345.763,344.862,321.731,315.874,321.894,0.995437,0.996228,0.996474,0.996238
0.55,347.495,346.638,323.386,317.458,323.548,0.995327,0.996125,0.996377,0.996135
0.6,349.167,348.339,324.983,318.987,325.144,0.995219,0.996024,0.996282,0.996035
0.65,350.806,349.995,326.549,320.486,326.709,0.995113,0.995924,0.996187,0.995935
0.7,352.44,351.631,328.109,321.98,328.269,0.995005,0.995824,0.996092,0.995835
0.75,354.1,353.278,329.696,323.499,329.855,0.994895,0.99572,0.995994,0.995732
0.8,355.831,354.975,331.35,325.082,331.508,0.994778,0.995611,0.99589,0.995623
0.85,357.702,356.777,333.138,326.794,333.295,0.994651,0.995492,0.995777,0.995503
0.9,359.848,358.788,335.189,328.757,335.344,0.994503,0.995353,0.995645,0.995365
0.95,362.644,361.269,337.861,331.315,338.016,0.994308,0.995169,0.995471,0.995181
