# Activation energy Ea(alpha) by method, kJ/mol, and regression R-squared.
alpha,Ea_Friedman_kJ/mol,Ea_Vyazovkin_kJ/mol,Ea_KAS_kJ/mol,Ea_OFW_kJ/mol,Ea_Starink_kJ/mol,R2_Friedman,R2_KAS,R2_OFW,R2_Starink
0.05,436.397,444.729,450.26,437.078,450.278,0.922061,0.867469,0.87218,0.867662
0.1,432.226,433.053,450.591,437.411,450.609,0.949363,0.884409,0.888599,0.884581
0.15,430.921,431.26,450.966,437.779,450.984,0.971693,0.896854,0.900644,0.89701
0.2,431.546,431.191,451.372,438.173,451.391,0.984618,0.907043,0.910495,0.907184
0.25,435.116,433.017,451.815,438.601,451.833,0.991692,0.915565,0.918727,0.915695
0.3,440.35,437.345,452.382,439.146,452.401,0.99569,0.922832,0.925741,0.922952
0.35,449.577,444.677,453.182,439.911,453.2,0.997972,0.929145,0.93183,0.929256
0.4,459.225,454.426,454.281,440.961,454.298,0.999215,0.934726,0.937208,0.934828
0.45,471.036,464.93,455.669,442.285,455.685,0.999814,0.939726,0.942024,0.939821
0.5,483.534,477.342,457.402,443.937,457.417,0.999999,0.944275,0.946401,0.944362
0.55,496.315,489.914,459.466,445.903,459.48,0.999882,0.948465,0.950431,0.948546
0.6,508.894,502.637,461.858,448.181,461.87,0.999543,0.95237,0.954185,0.952445
0.65,521.11,515.114,464.572,450.765,464.582,0.99902,0.956051,0.957722,0.95612
0.7,531.429,526.431,467.577,453.626,467.585,0.99833,0.959566,0.9611,0.959629
0.75,538.51,535.147,470.807,456.7,470.812,0.997534,0.962969,0.964369,0.963027
0.8,538.634,539.578,474.154,459.887,474.157,0.996894,0.966316,0.967585,0.966368
0.85,523.55,532.709,477.242,462.827,477.243,0.997178,0.969653,0.970793,0.9697
0.9,480.142,504.313,479.137,464.632,479.136,0.999609,0.972947,0.973962,0.972989
0.95,391.266,434.6,476.787,462.405,476.788,0.995918,0.97594,0.976849,0.975977
