# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
500.008,0,1.47913e-06,508.014,0,0,512.023,0,2.27055e-06
500.047,3.95878e-06,1.90098e-06,508.059,2.46376e-07,5.48599e-07,512.065,1.31966e-06,2.90093e-06
500.086,8.8577e-06,2.2797e-06,508.104,1.03146e-06,1.19915e-06,512.108,2.98055e-06,3.60929e-06
500.125,1.46719e-05,2.68334e-06,508.149,2.40314e-06,1.85379e-06,512.15,4.99082e-06,4.2723e-06
500.164,2.11322e-05,2.8312e-06,508.194,4.32993e-06,2.43464e-06,512.193,7.32499e-06,4.87913e-06
500.203,2.80823e-05,3.09993e-06,508.239,6.79843e-06,3.05456e-06,512.235,9.96629e-06,5.4716e-06
500.242,3.54827e-05,3.21876e-06,508.284,9.79024e-06,3.60279e-06,512.278,1.29062e-05,6.04945e-06
500.281,4.34081e-05,3.5481e-06,508.329,1.32291e-05,4.04939e-06,512.32,1.613e-05,6.59292e-06
500.32,5.21443e-05,3.91488e-06,508.373,1.70336e-05,4.41434e-06,512.363,1.96008e-05,7.02133e-06
500.359,6.18072e-05,4.33983e-06,508.418,2.11441e-05,4.73438e-06,512.405,2.32839e-05,7.42208e-06
500.398,7.23024e-05,4.62123e-06,508.463,2.551e-05,4.97419e-06,512.448,2.721e-05,7.98165e-06
500.437,8.36318e-05,5.05206e-06,508.508,3.01205e-05,5.28266e-06,512.49,3.14439e-05,8.62959e-06
500.476,9.59057e-05,5.43312e-06,508.553,3.50376e-05,5.64907e-06,512.533,3.59628e-05,9.09596e-06
500.515,0.000109166,5.89501e-06,508.598,4.02639e-05,5.96235e-06,512.575,4.0715e-05,9.55306e-06
500.554,0.00012364,6.47208e-06,508.643,4.57117e-05,6.14657e-06,512.618,4.56896e-05,9.96454e-06
500.593,0.000139286,6.89775e-06,508.688,5.13334e-05,6.34602e-06,512.66,5.08696e-05,1.03681e-05
500.632,0.000155947,7.33116e-06,508.733,5.70878e-05,6.43889e-06,512.703,5.62777e-05,1.08601e-05
500.671,0.000173596,7.74156e-06,508.778,6.29468e-05,6.57822e-06,512.745,6.19324e-05,1.13465e-05
500.71,0.000192212,8.15806e-06,508.823,6.89484e-05,6.75253e-06,512.787,6.78375e-05,1.18273e-05
500.749,0.000211895,8.65635e-06,508.868,7.51121e-05,6.94769e-06,512.83,7.39839e-05,1.22932e-05
500.788,0.000232986,9.36952e-06,508.913,8.14492e-05,7.13802e-06,512.872,8.03849e-05,1.28265e-05
500.827,0.000255441,9.82818e-06,508.958,8.79919e-05,7.39799e-06,512.915,8.70651e-05,1.34012e-05
500.866,0.000278738,1.00783e-05,509.003,9.47678e-05,7.65951e-06,512.957,9.4053e-05,1.40279e-05
500.905,0.000302796,1.04845e-05,509.048,0.000101789,7.95117e-06,513,0.00010138,1.47253e-05
500.944,0.00032753,1.06553e-05,509.093,0.000109097,8.29953e-06,513.042,0.000109084,1.54944e-05
500.983,0.000352627,1.07894e-05,509.138,0.000116752,8.72204e-06,513.085,0.000117168,1.62296e-05
501.022,0.00037802,1.08918e-05,509.183,0.000124815,9.19977e-06,513.127,0.000125617,1.69198e-05
501.061,0.000403711,1.10383e-05,509.228,0.000133344,9.77525e-06,513.17,0.000134395,1.75346e-05
501.1,0.0004297,1.11574e-05,509.273,0.000142384,1.03219e-05,513.212,0.000143476,1.81028e-05
501.139,0.000456033,1.13323e-05,509.318,0.000152014,1.10918e-05,513.255,0.000152839,1.86344e-05
501.178,0.000482861,1.15679e-05,509.363,0.000162291,1.17578e-05,513.297,0.00016245,1.90979e-05
501.217,0.000510203,1.17839e-05,509.408,0.000173171,1.24293e-05,513.34,0.000172323,1.96485e-05
501.256,0.000538313,1.22231e-05,509.453,0.000184699,1.31995e-05,513.382,0.000182479,2.02348e-05
501.296,0.000567434,1.266e-05,509.498,0.000196933,1.3989e-05,513.424,0.000192977,2.09623e-05
501.335,0.000597711,1.32182e-05,509.543,0.000209906,1.48649e-05,513.467,0.000203837,2.16779e-05
501.374,0.000629159,1.36598e-05,509.588,0.00022372,1.58604e-05,513.509,0.000215066,2.24176e-05
501.413,0.000661704,1.41351e-05,509.633,0.000238411,1.68063e-05,513.552,0.000226659,2.30879e-05
501.452,0.000695268,1.45522e-05,509.678,0.000253965,1.77594e-05,513.594,0.000238578,2.37087e-05
501.491,0.000729695,1.4865e-05,509.723,0.000270383,1.87167e-05,513.637,0.000250819,2.43631e-05
501.53,0.000764844,1.51928e-05,509.768,0.000287614,1.95401e-05,513.679,0.000263409,2.50561e-05
501.568,0.000800745,1.55152e-05,509.813,0.000305556,2.02778e-05,513.722,0.00027633,2.56761e-05
501.607,0.000837186,1.5631e-05,509.858,0.000324099,2.08924e-05,513.764,0.00028958,2.63437e-05
501.646,0.000874092,1.59046e-05,509.903,0.000343221,2.15358e-05,513.807,0.000303196,2.70768e-05
501.686,0.000911597,1.61341e-05,509.948,0.000362872,2.20272e-05,513.849,0.000317174,2.78045e-05
501.725,0.000949722,1.64429e-05,509.993,0.000382891,2.23998e-05,513.891,0.000331523,2.85457e-05
501.764,0.000988732,1.68741e-05,510.038,0.000403186,2.2639e-05,513.934,0.000346247,2.92486e-05
501.803,0.00102887,1.74143e-05,510.083,0.000423628,2.27573e-05,513.976,0.000361308,2.98853e-05
501.842,0.00107044,1.81195e-05,510.129,0.000444189,2.28846e-05,514.019,0.000376702,3.05406e-05
501.881,0.00111356,1.87389e-05,510.174,0.000464817,2.29034e-05,514.061,0.000392427,3.12124e-05
501.92,0.00115803,1.92868e-05,510.219,0.000485491,2.3008e-05,514.104,0.000408525,3.19903e-05
501.959,0.00120375,1.98116e-05,510.264,0.000506275,2.31685e-05,514.146,0.000425031,3.28192e-05
501.998,0.00125105,2.06479e-05,510.309,0.00052725,2.34331e-05,514.189,0.000441898,3.34015e-05
502.036,0.00130006,2.12539e-05,510.354,0.000548488,2.37422e-05,514.231,0.000459028,3.38546e-05
502.075,0.00135069,2.20662e-05,510.399,0.00056996,2.39824e-05,514.273,0.000476426,3.44686e-05
502.114,0.00140317,2.28192e-05,510.444,0.000591653,2.42351e-05,514.316,0.000494183,3.52178e-05
502.153,0.0014572,2.34125e-05,510.489,0.000613605,2.45483e-05,514.358,0.000512345,3.60385e-05
502.192,0.00151254,2.39394e-05,510.534,0.000635844,2.48719e-05,514.401,0.000530917,3.68267e-05
502.231,0.00156918,2.45147e-05,510.579,0.000658426,2.53549e-05,514.443,0.000549856,3.74803e-05
502.27,0.00162715,2.50462e-05,510.624,0.000681442,2.58356e-05,514.486,0.000569144,3.82109e-05
502.309,0.00168637,2.55911e-05,510.668,0.00070488,2.62846e-05,514.528,0.000588803,3.89382e-05
502.348,0.00174689,2.61486e-05,510.713,0.000728739,2.67943e-05,514.571,0.000608844,3.97279e-05
502.387,0.00180847,2.65084e-05,510.758,0.00075306,2.73354e-05,514.613,0.000629289,4.04854e-05
502.426,0.00187101,2.70017e-05,510.803,0.00077789,2.79426e-05,514.656,0.000650117,4.12326e-05
502.465,0.00193476,2.75424e-05,510.848,0.000803288,2.85461e-05,514.698,0.000671327,4.19837e-05
502.504,0.00199954,2.78829e-05,510.893,0.000829191,2.90946e-05,514.741,0.000692901,4.26369e-05
502.543,0.00206535,2.84033e-05,510.938,0.000855575,2.96139e-05,514.783,0.000714774,4.31224e-05
502.582,0.00213233,2.89098e-05,510.983,0.00088247,3.02319e-05,514.826,0.000736882,4.35742e-05
502.621,0.00220043,2.93397e-05,511.028,0.000909924,3.08456e-05,514.868,0.000759217,4.3992e-05
502.66,0.0022696,2.98652e-05,511.073,0.000937908,3.1411e-05,514.911,0.000781791,4.44713e-05
502.699,0.00233995,3.03327e-05,511.118,0.000966484,3.21191e-05,514.953,0.000804613,4.50285e-05
502.738,0.00241133,3.07527e-05,511.163,0.000995638,3.27097e-05,514.996,0.000827738,4.56567e-05
502.777,0.00248384,3.127e-05,511.208,0.00102537,3.33923e-05,515.038,0.000851219,4.64282e-05
502.816,0.00255757,3.178e-05,511.253,0.00105574,3.41356e-05,515.081,0.000875103,4.72308e-05
502.855,0.00263247,3.22523e-05,511.298,0.00108678,3.48206e-05,515.123,0.000899388,4.80077e-05
502.894,0.00270844,3.27254e-05,511.343,0.00111838,3.54243e-05,515.166,0.000924076,4.88281e-05
502.933,0.00278549,3.31647e-05,511.388,0.00115049,3.59475e-05,515.208,0.000949204,4.96905e-05
502.972,0.00286347,3.35543e-05,511.433,0.00118305,3.64266e-05,515.251,0.000974745,5.0494e-05
503.011,0.00294221,3.38095e-05,511.478,0.00121606,3.6972e-05,515.293,0.0010007,5.13085e-05
503.05,0.00302156,3.40505e-05,511.523,0.00124958,3.75525e-05,515.336,0.00102709,5.22082e-05
503.089,0.0031013,3.41394e-05,511.568,0.00128358,3.80179e-05,515.378,0.00105393,5.30815e-05
503.128,0.00318131,3.42604e-05,511.613,0.00131802,3.85242e-05,515.421,0.00108121,5.39609e-05
503.167,0.00326178,3.4521e-05,511.658,0.00135291,3.90715e-05,515.463,0.00110897,5.49321e-05
503.206,0.00334299,3.49423e-05,511.703,0.00138828,3.96262e-05,515.506,0.00113723,5.59169e-05
503.245,0.00342513,3.5332e-05,511.748,0.00142413,4.01169e-05,515.548,0.001166,5.69248e-05
503.284,0.00350824,3.57404e-05,511.793,0.0014604,4.05891e-05,515.591,0.00119525,5.78741e-05
503.323,0.00359249,3.62626e-05,511.838,0.00149708,4.10316e-05,515.633,0.00122499,5.87763e-05
503.362,0.00367796,3.67936e-05,511.883,0.00153421,4.15273e-05,515.676,0.00125521,5.97105e-05
503.401,0.00376468,3.73445e-05,511.927,0.00157178,4.21131e-05,515.718,0.0012859,6.07169e-05
503.44,0.0038527,3.78842e-05,511.972,0.00160986,4.26058e-05,515.761,0.00131714,6.18127e-05
503.479,0.00394205,3.84794e-05,512.017,0.00164846,4.3249e-05,515.803,0.00134892,6.28776e-05
503.518,0.00403268,3.89466e-05,512.062,0.00168763,4.39065e-05,515.846,0.00138123,6.39027e-05
503.557,0.00412452,3.95533e-05,512.107,0.00172743,4.45917e-05,515.888,0.00141408,6.49407e-05
503.596,0.0042176,4.00198e-05,512.152,0.00176777,4.51572e-05,515.931,0.00144746,6.60472e-05
503.635,0.00431192,4.06354e-05,512.197,0.00180863,4.56837e-05,515.973,0.00148139,6.717e-05
503.673,0.00440769,4.13286e-05,512.242,0.00184999,4.62591e-05,516.015,0.00151591,6.82903e-05
503.712,0.00450509,4.19763e-05,512.287,0.00189184,4.67855e-05,516.058,0.001551,6.93877e-05
503.751,0.00460397,4.26243e-05,512.332,0.00193418,4.73361e-05,516.1,0.00158664,7.04093e-05
503.79,0.00470439,4.32923e-05,512.377,0.00197699,4.78398e-05,516.143,0.0016228,7.14329e-05
503.829,0.0048063,4.38826e-05,512.422,0.00202027,4.83129e-05,516.185,0.0016595,7.25549e-05
503.868,0.00490976,4.46091e-05,512.467,0.002064,4.8859e-05,516.228,0.00169676,7.36597e-05
503.907,0.00501498,4.53936e-05,512.512,0.00210831,4.96002e-05,516.27,0.00173457,7.47351e-05
503.946,0.00512213,4.62316e-05,512.557,0.00215331,5.03893e-05,516.313,0.00177288,7.5695e-05
503.985,0.00523109,4.69214e-05,512.602,0.00219897,5.11053e-05,516.355,0.00181169,7.66486e-05
504.024,0.00534153,4.75177e-05,512.647,0.00224528,5.17566e-05,516.398,0.00185097,7.7544e-05
504.063,0.00545337,4.81015e-05,512.692,0.00229221,5.24952e-05,516.44,0.00189071,7.83755e-05
504.102,0.00556668,4.87916e-05,512.737,0.00233986,5.33109e-05,516.483,0.00193084,7.91195e-05
504.141,0.00568153,4.94473e-05,512.782,0.00238829,5.41817e-05,516.525,0.00197135,7.98696e-05
504.18,0.0057979,5.00872e-05,512.827,0.00243746,5.49758e-05,516.568,0.00201229,8.0646e-05
504.219,0.00591571,5.0631e-05,512.872,0.00248732,5.57191e-05,516.61,0.00205359,8.14386e-05
504.258,0.00603467,5.10995e-05,512.917,0.00253787,5.64806e-05,516.653,0.00209529,8.2205e-05
504.297,0.00615454,5.14633e-05,512.962,0.00258909,5.71987e-05,516.695,0.00213739,8.29667e-05
504.336,0.00627543,5.18824e-05,513.008,0.00264094,5.78861e-05,516.737,0.00217987,8.3745e-05
504.375,0.00639734,5.23675e-05,513.053,0.00269341,5.85484e-05,516.78,0.00222273,8.44984e-05
504.414,0.00652049,5.28906e-05,513.098,0.00274642,5.91483e-05,516.822,0.00226595,8.51982e-05
504.453,0.00664477,5.32745e-05,513.143,0.00279997,5.97619e-05,516.865,0.00230954,8.58453e-05
504.492,0.00676981,5.36038e-05,513.188,0.00285413,6.04926e-05,516.907,0.00235343,8.65247e-05
504.531,0.0068956,5.39096e-05,513.233,0.00290897,6.12582e-05,516.95,0.00239769,8.71745e-05
504.57,0.00702196,5.40846e-05,513.278,0.00296453,6.21784e-05,516.992,0.00244227,8.7844e-05
504.609,0.00714911,5.45633e-05,513.323,0.00302088,6.30595e-05,517.035,0.00248721,8.85627e-05
504.648,0.00727742,5.49654e-05,513.368,0.00307802,6.39043e-05,517.077,0.00253251,8.92985e-05
504.687,0.00740703,5.56421e-05,513.413,0.00313599,6.48949e-05,517.12,0.0025782,9.00975e-05
504.726,0.00753825,5.63695e-05,513.458,0.00319488,6.58767e-05,517.162,0.00262432,9.09273e-05
504.765,0.00767095,5.69262e-05,513.503,0.00325457,6.67731e-05,517.205,0.00267085,9.17199e-05
504.804,0.00780484,5.74301e-05,513.548,0.00331504,6.75827e-05,517.247,0.00271776,9.24536e-05
504.843,0.00793969,5.77327e-05,513.593,0.00337619,6.83297e-05,517.289,0.00276502,9.30611e-05
504.882,0.00807547,5.82623e-05,513.638,0.00343801,6.90506e-05,517.332,0.00281261,9.37777e-05
504.921,0.0082124,5.87098e-05,513.683,0.00350047,6.97497e-05,517.374,0.00286061,9.46829e-05
