# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
305.686,0,1.04324e-06,318.514,0,3.44035e-06,324.447,0,5.34618e-06
305.72,2.12925e-06,1.04832e-06,318.546,2.2138e-06,3.45715e-06,324.479,2.04808e-06,5.37218e-06
305.754,4.26887e-06,1.05343e-06,318.578,4.4384e-06,3.47403e-06,324.511,4.10612e-06,5.39831e-06
305.788,6.41892e-06,1.05856e-06,318.61,6.67388e-06,3.491e-06,324.543,6.17417e-06,5.42457e-06
305.822,8.57946e-06,1.06373e-06,318.642,8.92027e-06,3.50805e-06,324.575,8.25229e-06,5.45097e-06
305.856,1.07505e-05,1.06891e-06,318.674,1.11776e-05,3.5252e-06,324.606,1.03405e-05,5.47751e-06
305.89,1.29322e-05,1.07413e-06,318.706,1.3446e-05,3.54243e-06,324.638,1.24389e-05,5.50418e-06
305.924,1.51245e-05,1.07937e-06,318.738,1.57255e-05,3.55975e-06,324.67,1.45475e-05,5.53099e-06
305.958,1.73275e-05,1.08464e-06,318.771,1.80162e-05,3.57715e-06,324.702,1.66664e-05,5.55793e-06
305.992,1.95413e-05,1.08993e-06,318.803,2.0318e-05,3.59465e-06,324.734,1.87956e-05,5.58501e-06
306.026,2.17658e-05,1.09526e-06,318.835,2.26311e-05,3.61224e-06,324.766,2.09352e-05,5.61223e-06
306.06,2.40013e-05,1.10061e-06,318.867,2.49555e-05,3.62992e-06,324.798,2.30852e-05,5.63959e-06
306.094,2.62476e-05,1.10598e-06,318.899,2.72913e-05,3.64769e-06,324.829,2.52457e-05,5.66709e-06
306.128,2.85049e-05,1.11139e-06,318.931,2.96385e-05,3.66554e-06,324.861,2.74168e-05,5.69473e-06
306.162,3.07733e-05,1.11682e-06,318.963,3.19973e-05,3.6835e-06,324.893,2.95984e-05,5.72251e-06
306.195,3.30528e-05,1.12228e-06,318.995,3.43675e-05,3.70154e-06,324.925,3.17907e-05,5.75044e-06
306.229,3.53433e-05,1.12777e-06,319.027,3.67494e-05,3.71968e-06,324.957,3.39936e-05,5.77851e-06
306.263,3.76451e-05,1.13328e-06,319.059,3.9143e-05,3.73791e-06,324.989,3.62074e-05,5.80672e-06
306.297,3.99582e-05,1.13883e-06,319.091,4.15483e-05,3.75623e-06,325.02,3.84319e-05,5.83507e-06
306.331,4.22826e-05,1.1444e-06,319.124,4.39654e-05,3.77465e-06,325.052,4.06673e-05,5.86357e-06
306.365,4.46183e-05,1.15e-06,319.156,4.63943e-05,3.79316e-06,325.084,4.29136e-05,5.89222e-06
306.399,4.69655e-05,1.15564e-06,319.188,4.88352e-05,3.81177e-06,325.116,4.51709e-05,5.92101e-06
306.433,4.93242e-05,1.16129e-06,319.22,5.1288e-05,3.83047e-06,325.148,4.74392e-05,5.94996e-06
306.467,5.16944e-05,1.16698e-06,319.252,5.37528e-05,3.84927e-06,325.18,4.97186e-05,5.97905e-06
306.501,5.40763e-05,1.1727e-06,319.284,5.62298e-05,3.86817e-06,325.212,5.20092e-05,6.00828e-06
