# Conversion and rate: T (C), alpha (-), dalpha/dt (1/s) for each beta.
T_C_1K,alpha_1K,rate_dadt_1/s_1K,T_C_3K,alpha_3K,rate_dadt_1/s_3K,T_C_5K,alpha_5K,rate_dadt_1/s_5K
285,0,1.2045e-06,282.001,0,5.5193e-07,286.001,0,0
285.002,1.01196e-07,1.17099e-06,282.003,2.18603e-08,4.94016e-07,286.003,0,0
285.003,1.99579e-07,1.13847e-06,282.005,4.13334e-08,4.33278e-07,286.005,0,0
285.005,2.95219e-07,1.10661e-06,282.008,5.81322e-08,3.70488e-07,286.006,0,0
285.006,3.88017e-07,1.07174e-06,282.01,7.23141e-08,3.04843e-07,286.008,0,0
285.008,4.78586e-07,1.03943e-06,282.012,8.36437e-08,2.37241e-07,286.01,0,0
285.009,5.65882e-07,1.00978e-06,282.014,9.21554e-08,1.68079e-07,286.012,0,0
285.01,6.50677e-07,9.80711e-07,282.016,9.77132e-08,9.7845e-08,286.013,0,0
285.012,7.32975e-07,9.51161e-07,282.018,1.00312e-07,2.59052e-08,286.015,0,0
285.013,8.12713e-07,9.20615e-07,282.02,1.00853e-07,0,286.017,0,0
285.015,8.89642e-07,8.85223e-07,282.022,1.00853e-07,0,286.019,0,0
285.016,9.64056e-07,8.49369e-07,282.024,1.00853e-07,0,286.02,0,0
285.018,1.03478e-06,8.10929e-07,282.026,1.00853e-07,0,286.022,0,0
285.019,1.10225e-06,7.72824e-07,282.028,1.00853e-07,0,286.024,0,0
285.02,1.16654e-06,7.36311e-07,282.031,1.00853e-07,0,286.026,0,0
285.022,1.22769e-06,6.99219e-07,282.033,1.00853e-07,0,286.028,0,0
285.023,1.28559e-06,6.59777e-07,282.035,1.00853e-07,0,286.029,0,0
285.025,1.34059e-06,6.22411e-07,282.037,1.00853e-07,0,286.031,0,0
285.026,1.39212e-06,5.87172e-07,282.039,1.00853e-07,0,286.033,0,0
285.027,1.44067e-06,5.52405e-07,282.041,1.00853e-07,0,286.035,0,0
285.029,1.48626e-06,5.17772e-07,282.043,1.00853e-07,0,286.036,0,0
285.03,1.52888e-06,4.82799e-07,282.045,1.00853e-07,0,286.038,0,0
