# Comparison of Ea(alpha) (Friedman) for the three precursors, kJ/mol.
alpha_mel_thiobarbiturate,Ea_Friedman_mel_thiobarbiturate,alpha_mel_barbiturate,Ea_Friedman_mel_barbiturate,alpha_melamine,Ea_Friedman_melamine
0.05,436.397,0.05,313.243,0.05,351.891
0.1,432.226,0.1,322.228,0.1,339.295
0.15,430.921,0.15,327.66,0.15,322.457
0.2,431.546,0.2,331.638,0.2,317.38
0.25,435.116,0.25,334.824,0.25,311.657
0.3,440.35,0.3,337.515,0.3,306.005
0.35,449.577,0.35,339.872,0.35,305.218
0.4,459.225,0.4,341.992,0.4,305.344
0.45,471.036,0.45,343.94,0.45,308.188
0.5,483.534,0.5,345.763,0.5,310.481
0.55,496.315,0.55,347.495,0.55,318.847
0.6,508.894,0.6,349.167,0.6,328.28
0.65,521.11,0.65,350.806,0.65,345.815
0.7,531.429,0.7,352.44,0.7,368.727
0.75,538.51,0.75,354.1,0.75,386.175
0.8,538.634,0.8,355.831,0.8,390.954
0.85,523.55,0.85,357.702,0.85,383.398
0.9,480.142,0.9,359.848,0.9,379.031
0.95,391.266,0.95,362.644,0.95,424.46
