# Comparison of alpha(T) at 3 K/min for the three precursors.
T_C_mel_thiobarbiturate,alpha_mel_thiobarbiturate,T_C_mel_barbiturate,alpha_mel_barbiturate,T_C_melamine,alpha_melamine
282.001,0,318.514,0,508.014,0
282.003,2.18603e-08,318.546,2.2138e-06,508.059,2.46376e-07
282.005,4.13334e-08,318.578,4.4384e-06,508.104,1.03146e-06
282.008,5.81322e-08,318.61,6.67388e-06,508.149,2.40314e-06
282.01,7.23141e-08,318.642,8.92027e-06,508.194,4.32993e-06
282.012,8.36437e-08,318.674,1.11776e-05,508.239,6.79843e-06
282.014,9.21554e-08,318.706,1.3446e-05,508.284,9.79024e-06
282.016,9.77132e-08,318.738,1.57255e-05,508.329,1.32291e-05
282.018,1.00312e-07,318.771,1.80162e-05,508.373,1.70336e-05
282.02,1.00853e-07,318.803,2.0318e-05,508.418,2.11441e-05
282.022,1.00853e-07,318.835,2.26311e-05,508.463,2.551e-05
282.024,1.00853e-07,318.867,2.49555e-05,508.508,3.01205e-05
282.026,1.00853e-07,318.899,2.72913e-05,508.553,3.50376e-05
282.028,1.00853e-07,318.931,2.96385e-05,508.598,4.02639e-05
282.031,1.00853e-07,318.963,3.19973e-05,508.643,4.57117e-05
282.033,1.00853e-07,318.995,3.43675e-05,508.688,5.13334e-05
282.035,1.00853e-07,319.027,3.67494e-05,508.733,5.70878e-05
282.037,1.00853e-07,319.059,3.9143e-05,508.778,6.29468e-05
282.039,1.00853e-07,319.091,4.15483e-05,508.823,6.89484e-05
282.041,1.00853e-07,319.124,4.39654e-05,508.868,7.51121e-05
282.043,1.00853e-07,319.156,4.63943e-05,508.913,8.14492e-05
282.045,1.00853e-07,319.188,4.88352e-05,508.958,8.79919e-05
282.047,1.00853e-07,319.22,5.1288e-05,509.003,9.47678e-05
282.049,1.00853e-07,319.252,5.37528e-05,509.048,0.000101789
282.052,1.00853e-07,319.284,5.62298e-05,509.093,0.000109097
282.054,1.00853e-07,319.316,5.87189e-05,509.138,0.000116752
282.056,1.00853e-07,319.348,6.12203e-05,509.183,0.000124815
282.058,1.00853e-07,319.38,6.37339e-05,509.228,0.000133344
282.06,1.00853e-07,319.412,6.62599e-05,509.273,0.000142384
282.062,1.00853e-07,319.445,6.87983e-05,509.318,0.000152014
282.064,1.00853e-07,319.477,7.13492e-05,509.363,0.000162291
282.066,1.00853e-07,319.509,7.39126e-05,509.408,0.000173171
282.068,1.00853e-07,319.541,7.64886e-05,509.453,0.000184699
282.07,1.00853e-07,319.573,7.90773e-05,509.498,0.000196933
282.072,1.00853e-07,319.605,8.16788e-05,509.543,0.000209906
282.075,1.00853e-07,319.637,8.4293e-05,509.588,0.00022372
282.077,1.00853e-07,319.669,8.69201e-05,509.633,0.000238411
282.079,1.00853e-07,319.701,8.95602e-05,509.678,0.000253965
282.081,1.00853e-07,319.733,9.22132e-05,509.723,0.000270383
282.083,1.00853e-07,319.765,9.48793e-05,509.768,0.000287614
282.085,1.00853e-07,319.798,9.75586e-05,509.813,0.000305556
282.087,1.00853e-07,319.83,0.000100251,509.858,0.000324099
282.089,1.00853e-07,319.862,0.000102957,509.903,0.000343221
282.091,1.00853e-07,319.894,0.000105676,509.948,0.000362872
282.093,1.00853e-07,319.926,0.000108408,509.993,0.000382891
282.096,1.00853e-07,319.958,0.000111154,510.038,0.000403186
282.098,1.00853e-07,319.99,0.000113914,510.083,0.000423628
282.1,1.00853e-07,320.022,0.000116687,510.129,0.000444189
