# Criado master-plot: y(alpha) of 15 theoretical models (common grid) and experiment by beta. Selected model: R3.
alpha_theory,y_F1,y_F2,y_F3,y_D1,y_D2,y_D3,y_D4,y_R2,y_R3,y_P2,y_P3,y_P4,y_A2,y_A3,y_A4,alpha_exp_1K,y_exp_1K,alpha_exp_3K,y_exp_3K,alpha_exp_5K,y_exp_5K
0.1,0.273606,0.36,0.456,0.2,0.221923,0.247535,0.230512,0.235064,0.247535,0.2,0.2,0.2,0.273606,0.273606,0.273606,0.1,0.239562,0.1,0.240149,0.1,0.240208
0.105,0.286472,0.3759,0.474887,0.21,0.232799,0.259418,0.241731,0.246464,0.259418,0.21,0.21,0.21,0.286472,0.286472,0.286472,0.125,0.299157,0.125,0.299788,0.125,0.299861
0.11,0.299259,0.3916,0.493416,0.22,0.243653,0.271251,0.252919,0.257829,0.271251,0.22,0.22,0.22,0.299259,0.299259,0.299259,0.15,0.357766,0.15,0.358422,0.15,0.358507
0.115,0.311964,0.4071,0.511589,0.23,0.254485,0.283035,0.264076,0.269158,0.283035,0.23,0.23,0.23,0.311964,0.311964,0.311964,0.175,0.415219,0.175,0.415884,0.175,0.415976
0.12,0.324587,0.4224,0.529408,0.24,0.265293,0.294768,0.275201,0.28045,0.294768,0.24,0.24,0.24,0.324587,0.324587,0.324587,0.2,0.471372,0.2,0.472034,0.2,0.47213
0.125,0.337129,0.4375,0.546875,0.25,0.276079,0.30645,0.286295,0.291706,0.30645,0.25,0.25,0.25,0.337129,0.337129,0.337129,0.225,0.5261,0.225,0.526747,0.225,0.526846
0.13,0.349588,0.4524,0.563992,0.26,0.286842,0.318082,0.297356,0.302925,0.318082,0.26,0.26,0.26,0.349588,0.349588,0.349588,0.25,0.579287,0.25,0.579909,0.25,0.580007
0.135,0.361964,0.4671,0.580761,0.27,0.297582,0.329661,0.308385,0.314107,0.329661,0.27,0.27,0.27,0.361964,0.361964,0.361964,0.275,0.630818,0.275,0.631406,0.275,0.631501
0.14,0.374257,0.4816,0.597184,0.28,0.308298,0.34119,0.319382,0.325252,0.34119,0.28,0.28,0.28,0.374257,0.374257,0.374257,0.3,0.680581,0.3,0.681127,0.3,0.681217
0.145,0.386466,0.4959,0.613263,0.29,0.318991,0.352665,0.330346,0.336358,0.352665,0.29,0.29,0.29,0.386466,0.386466,0.386466,0.325,0.728461,0.325,0.728957,0.325,0.72904
0.15,0.398591,0.51,0.629,0.3,0.32966,0.364088,0.341276,0.347427,0.364088,0.3,0.3,0.3,0.398591,0.398591,0.398591,0.35,0.77434,0.35,0.77478,0.35,0.774854
0.155,0.410631,0.5239,0.644397,0.31,0.340305,0.375458,0.352173,0.358457,0.375458,0.31,0.31,0.31,0.410631,0.410631,0.410631,0.375,0.818092,0.375,0.81847,0.375,0.818535
0.16,0.422585,0.5376,0.659456,0.32,0.350925,0.386775,0.363036,0.369448,0.386775,0.32,0.32,0.32,0.422585,0.422585,0.422585,0.4,0.859588,0.4,0.859898,0.4,0.859952
0.165,0.434454,0.5511,0.674179,0.33,0.361522,0.398037,0.373865,0.3804,0.398037,0.33,0.33,0.33,0.434454,0.434454,0.434454,0.425,0.898683,0.425,0.898921,0.425,0.898963
0.17,0.446236,0.5644,0.688568,0.34,0.372093,0.409246,0.38466,0.391312,0.409246,0.34,0.34,0.34,0.446236,0.446236,0.446236,0.45,0.93523,0.45,0.935392,0.45,0.935421
0.175,0.457931,0.5775,0.702625,0.35,0.38264,0.420399,0.39542,0.402184,0.420399,0.35,0.35,0.35,0.457931,0.457931,0.457931,0.475,0.969062,0.475,0.969145,0.475,0.96916
0.18,0.469539,0.5904,0.716352,0.36,0.393161,0.431497,0.406145,0.413016,0.431497,0.36,0.36,0.36,0.469539,0.469539,0.469539,0.5,1,0.5,1,0.5,1
