code,err,kce_r2
A3,0.019566490985443153,0.9966680151176138
A4,0.019566490985443167,0.994696752690602
F1,0.019566490985443174,0.9969608159385432
A2,0.01956649098544319,0.9991791143237724
F2,0.027991855631642863,0.9866857647277666
D3,0.05470030658145256,0.9708326918502168
R3,0.05470030658145257,0.9986795300068187
R2,0.08364655251952526,0.9990586620486259
F3,0.09892644101704157,0.972636583010374
D4,0.09927698286674982,0.9752763793753344
D2,0.13253625524795112,0.9773364084185147
P2,0.2287617271231753,0.9891934273312677
D1,0.22876172712317538,0.9825492623836577
P3,0.22876172712317538,0.9834187046880505
P4,0.22876172712317538,0.9799385975219803
