# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
500.008,-1.32612,-1.32655,0.000429059,-1.32397,508.014,-0.616903,-0.616896,0,-0.616792,512.023,-0.571425,-0.571952,0.000526898,-0.570648
500.047,-1.32627,-1.32682,0.000551427,-1.32421,508.059,-0.616923,-0.617047,0.00012358,-0.616941,512.065,-0.571378,-0.572051,0.000673183,-0.570729
500.086,-1.32643,-1.32709,0.000661285,-1.32445,508.104,-0.616927,-0.617197,0.000270127,-0.61709,512.108,-0.571312,-0.572149,0.000837564,-0.57081
500.125,-1.32658,-1.32735,0.000778371,-1.32468,508.149,-0.616931,-0.617348,0.000417594,-0.617239,512.15,-0.571256,-0.572248,0.000991419,-0.570891
500.164,-1.3268,-1.32762,0.000821263,-1.32492,508.194,-0.616951,-0.617499,0.000548441,-0.617388,512.193,-0.571214,-0.572346,0.00113224,-0.570972
500.203,-1.32699,-1.32789,0.000899215,-1.32515,508.239,-0.616962,-0.61765,0.000688087,-0.617537,512.235,-0.571175,-0.572445,0.00126973,-0.571052
500.242,-1.32722,-1.32816,0.000933684,-1.32539,508.284,-0.61699,-0.617801,0.000811584,-0.617685,512.278,-0.57114,-0.572544,0.00140382,-0.571133
500.281,-1.32739,-1.32842,0.00102922,-1.32562,508.329,-0.61704,-0.617952,0.000912188,-0.617834,512.32,-0.571112,-0.572642,0.00152994,-0.571213
500.32,-1.32755,-1.32869,0.00113561,-1.32585,508.373,-0.617109,-0.618103,0.0009944,-0.617983,512.363,-0.571112,-0.572741,0.00162935,-0.571293
500.359,-1.3277,-1.32896,0.00125888,-1.32609,508.418,-0.617188,-0.618254,0.00106649,-0.618131,512.405,-0.571117,-0.572839,0.00172235,-0.571372
500.398,-1.32788,-1.32922,0.00134051,-1.32632,508.463,-0.617285,-0.618405,0.00112051,-0.61828,512.448,-0.571086,-0.572938,0.0018522,-0.571452
500.437,-1.32803,-1.32949,0.00146548,-1.32655,508.508,-0.617366,-0.618556,0.00119,-0.618429,512.49,-0.571034,-0.573037,0.00200256,-0.571531
500.476,-1.32818,-1.32976,0.00157601,-1.32678,508.553,-0.617435,-0.618707,0.00127254,-0.618577,512.533,-0.571024,-0.573135,0.00211079,-0.57161
500.515,-1.32832,-1.33003,0.00171,-1.32701,508.598,-0.617515,-0.618858,0.00134311,-0.618726,512.575,-0.571017,-0.573234,0.00221686,-0.571688
500.554,-1.32842,-1.33029,0.00187739,-1.32725,508.643,-0.617625,-0.619009,0.00138461,-0.618875,512.618,-0.57102,-0.573332,0.00231235,-0.571767
500.593,-1.32856,-1.33056,0.00200087,-1.32748,508.688,-0.617731,-0.619161,0.00142954,-0.619023,512.66,-0.571025,-0.573431,0.00240601,-0.571845
