# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,FS_sum_1K,central_1K,shoulder_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,FS_sum_3K,central_3K,shoulder_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,FS_sum_5K,central_5K,shoulder_5K
330.674,-0.714072,-0.711576,-0.698638,-0.698646,-0.711568,343.505,-0.350142,-0.349621,-0.310103,-0.310104,-0.34962,349.432,0.0254496,0.0267866,0.0907951,0.0907942,0.0267876
330.699,-0.713532,-0.711637,-0.698644,-0.698652,-0.711629,343.531,-0.350032,-0.349813,-0.310115,-0.310116,-0.349812,349.459,0.0257205,0.0264391,0.0907656,0.0907646,0.02644
330.724,-0.713043,-0.711698,-0.698651,-0.698659,-0.71169,343.556,-0.349934,-0.350005,-0.310127,-0.310128,-0.350005,349.487,0.025968,0.0260916,0.0907377,0.0907368,0.0260926
330.749,-0.712603,-0.711759,-0.698657,-0.698665,-0.711751,343.582,-0.349847,-0.350198,-0.310137,-0.310138,-0.350197,349.514,0.0261932,0.0257444,0.0907115,0.0907105,0.0257454
330.774,-0.712209,-0.71182,-0.698663,-0.698671,-0.711812,343.607,-0.34977,-0.35039,-0.310147,-0.310147,-0.350389,349.542,0.0263971,0.0253969,0.0906868,0.0906858,0.0253978
330.799,-0.711861,-0.711881,-0.698668,-0.698676,-0.711873,343.633,-0.349702,-0.350583,-0.310155,-0.310156,-0.350582,349.569,0.0265809,0.0250492,0.0906638,0.0906628,0.0250502
330.824,-0.711555,-0.711942,-0.698674,-0.698682,-0.711934,343.658,-0.349642,-0.350775,-0.310163,-0.310164,-0.350774,349.597,0.0267457,0.0247017,0.0906424,0.0906414,0.0247027
330.849,-0.711291,-0.712003,-0.698679,-0.698687,-0.711995,343.684,-0.349589,-0.350968,-0.31017,-0.310171,-0.350967,349.624,0.0268926,0.0243543,0.0906227,0.0906216,0.0243553
330.874,-0.711065,-0.712064,-0.698683,-0.698692,-0.712056,343.709,-0.349541,-0.35116,-0.310176,-0.310177,-0.351159,349.652,0.0270226,0.0240066,0.0906046,0.0906035,0.0240076
330.899,-0.710876,-0.712126,-0.698688,-0.698696,-0.712117,343.735,-0.349498,-0.351352,-0.310181,-0.310182,-0.351351,349.68,0.0271369,0.0236589,0.0905881,0.0905871,0.0236599
330.924,-0.710722,-0.712187,-0.698692,-0.698701,-0.712178,343.76,-0.349459,-0.351545,-0.310186,-0.310187,-0.351544,349.707,0.0272365,0.0233113,0.0905734,0.0905723,0.0233124
330.949,-0.710601,-0.712248,-0.698697,-0.698705,-0.712239,343.786,-0.349423,-0.351737,-0.310189,-0.31019,-0.351736,349.735,0.0273226,0.0229637,0.0905603,0.0905593,0.0229648
330.974,-0.710511,-0.712309,-0.6987,-0.698709,-0.7123,343.811,-0.349388,-0.35193,-0.310192,-0.310193,-0.351929,349.762,0.0273963,0.0226164,0.090549,0.0905479,0.0226175
330.999,-0.71045,-0.71237,-0.698704,-0.698713,-0.712361,343.837,-0.349355,-0.352122,-0.310193,-0.310195,-0.352121,349.79,0.0274587,0.022269,0.0905393,0.0905382,0.0222701
331.024,-0.710415,-0.712431,-0.698708,-0.698716,-0.712422,343.862,-0.34932,-0.352315,-0.310194,-0.310195,-0.352314,349.817,0.0275109,0.0219217,0.0905313,0.0905302,0.0219228
331.049,-0.710406,-0.712492,-0.698711,-0.698719,-0.712483,343.888,-0.349285,-0.352507,-0.310194,-0.310195,-0.352506,349.845,0.0275539,0.0215744,0.0905251,0.0905239,0.0215755
331.074,-0.71039,-0.712553,-0.698714,-0.698722,-0.712544,343.913,-0.349225,-0.3527,-0.310193,-0.310194,-0.352698,349.872,0.0276153,0.021227,0.0905205,0.0905194,0.0212282
331.099,-0.710429,-0.712614,-0.698716,-0.698725,-0.712605,343.939,-0.349168,-0.352892,-0.310192,-0.310193,-0.352891,349.9,0.0276508,0.0208795,0.0905177,0.0905166,0.0208806
331.124,-0.710468,-0.712675,-0.698719,-0.698727,-0.712666,343.964,-0.349109,-0.353085,-0.310189,-0.31019,-0.353084,349.927,0.0276603,0.0205323,0.0905166,0.0905155,0.0205334
331.149,-0.710544,-0.712736,-0.698721,-0.69873,-0.712728,343.99,-0.349054,-0.353277,-0.310185,-0.310186,-0.353276,349.955,0.0276879,0.0201851,0.0905173,0.0905161,0.0201862
331.174,-0.710655,-0.712797,-0.698723,-0.698732,-0.712789,344.015,-0.348998,-0.35347,-0.310181,-0.310182,-0.353469,349.982,0.0276822,0.0198379,0.0905197,0.0905185,0.0198391
331.199,-0.71077,-0.712859,-0.698724,-0.698733,-0.71285,344.041,-0.348932,-0.353662,-0.310175,-0.310176,-0.353661,350.01,0.0276563,0.0194906,0.0905239,0.0905227,0.0194918
331.224,-0.710883,-0.71292,-0.698726,-0.698735,-0.712911,344.066,-0.348897,-0.353855,-0.310169,-0.31017,-0.353854,350.037,0.0276694,0.0191433,0.0905299,0.0905287,0.0191445
331.249,-0.711001,-0.712981,-0.698727,-0.698736,-0.712972,344.092,-0.34882,-0.354047,-0.310162,-0.310163,-0.354046,350.065,0.0277011,0.0187959,0.0905376,0.0905364,0.0187972
331.274,-0.711124,-0.713042,-0.698728,-0.698737,-0.713033,344.117,-0.348738,-0.35424,-0.310153,-0.310155,-0.354239,350.092,0.0277269,0.0184487,0.0905472,0.0905459,0.01845
331.299,-0.711268,-0.713103,-0.698728,-0.698737,-0.713094,344.143,-0.348604,-0.354432,-0.310144,-0.310145,-0.354431,350.12,0.0277404,0.0181018,0.0905585,0.0905572,0.0181031
331.324,-0.711316,-0.713164,-0.698728,-0.698738,-0.713155,344.168,-0.348455,-0.354625,-0.310134,-0.310135,-0.354624,350.147,0.0277324,0.0177549,0.0905716,0.0905703,0.0177561
331.349,-0.711365,-0.713225,-0.698729,-0.698738,-0.713216,344.193,-0.348309,-0.354817,-0.310123,-0.310124,-0.354816,350.175,0.0277127,0.0174078,0.0905865,0.0905853,0.0174091
331.374,-0.71138,-0.713286,-0.698728,-0.698738,-0.713277,344.219,-0.348221,-0.35501,-0.310111,-0.310112,-0.355009,350.202,0.0276984,0.0170607,0.0906033,0.090602,0.017062
331.399,-0.711406,-0.713348,-0.698728,-0.698737,-0.713338,344.244,-0.348152,-0.355202,-0.310098,-0.3101,-0.355201,350.23,0.0277147,0.0167137,0.0906219,0.0906206,0.016715
331.424,-0.711421,-0.713409,-0.698727,-0.698737,-0.713399,344.27,-0.348057,-0.355395,-0.310085,-0.310086,-0.355394,350.257,0.0277708,0.0163665,0.0906423,0.090641,0.0163678
331.449,-0.711435,-0.71347,-0.698726,-0.698736,-0.71346,344.295,-0.347913,-0.355587,-0.31007,-0.310071,-0.355586,350.285,0.027868,0.0160194,0.0906646,0.0906633,0.0160208
331.474,-0.711436,-0.713531,-0.698725,-0.698735,-0.713521,344.321,-0.347792,-0.35578,-0.310054,-0.310055,-0.355778,350.312,0.0279946,0.0156722,0.0906888,0.0906874,0.0156736
331.499,-0.711437,-0.713592,-0.698723,-0.698733,-0.713582,344.346,-0.347706,-0.355972,-0.310037,-0.310038,-0.355971,350.34,0.0281521,0.0153253,0.0907148,0.0907134,0.0153267
331.524,-0.711409,-0.713653,-0.698722,-0.698731,-0.713643,344.372,-0.347595,-0.356165,-0.31002,-0.310021,-0.356164,350.367,0.0283205,0.0149786,0.0907426,0.0907413,0.01498
331.549,-0.711382,-0.713714,-0.69872,-0.69873,-0.713704,344.397,-0.347473,-0.356357,-0.310001,-0.310002,-0.356356,350.395,0.0284955,0.0146318,0.0907724,0.090771,0.0146332
331.574,-0.711295,-0.713775,-0.698717,-0.698727,-0.713765,344.423,-0.347331,-0.35655,-0.309981,-0.309983,-0.356549,350.422,0.0286787,0.0142851,0.090804,0.0908026,0.0142865
331.599,-0.711221,-0.713836,-0.698715,-0.698725,-0.713826,344.448,-0.347194,-0.356743,-0.309961,-0.309962,-0.356741,350.45,0.028843,0.0139383,0.0908376,0.0908361,0.0139397
331.624,-0.71118,-0.713898,-0.698712,-0.698722,-0.713887,344.474,-0.347072,-0.356935,-0.309939,-0.30994,-0.356934,350.477,0.0289682,0.0135915,0.0908731,0.0908716,0.0135929
331.649,-0.711102,-0.713959,-0.698709,-0.698719,-0.713948,344.499,-0.346952,-0.357128,-0.309916,-0.309918,-0.357127,350.505,0.0291076,0.0132448,0.0909104,0.090909,0.0132463
331.674,-0.710967,-0.71402,-0.698705,-0.698715,-0.71401,344.525,-0.346846,-0.35732,-0.309893,-0.309894,-0.357319,350.532,0.0292637,0.012898,0.0909497,0.0909482,0.0128995
331.699,-0.710869,-0.714081,-0.698701,-0.698712,-0.714071,344.55,-0.346742,-0.357513,-0.309868,-0.30987,-0.357512,350.56,0.0294124,0.0125512,0.090991,0.0909895,0.0125527
331.725,-0.710802,-0.714142,-0.698697,-0.698708,-0.714132,344.576,-0.346632,-0.357706,-0.309843,-0.309844,-0.357704,350.587,0.0295815,0.0122044,0.0910342,0.0910327,0.0122059
331.75,-0.710771,-0.714204,-0.698693,-0.698704,-0.714193,344.601,-0.346522,-0.357898,-0.309816,-0.309817,-0.357897,350.615,0.0297772,0.0118575,0.0910794,0.0910778,0.0118591
331.775,-0.710749,-0.714265,-0.698688,-0.698699,-0.714254,344.627,-0.346428,-0.35809,-0.309788,-0.30979,-0.358089,350.642,0.0299852,0.0115109,0.0911265,0.0911249,0.0115124
331.8,-0.710698,-0.714326,-0.698684,-0.698694,-0.714315,344.652,-0.346316,-0.358283,-0.30976,-0.309761,-0.358282,350.67,0.030183,0.0111642,0.0911756,0.091174,0.0111658
331.825,-0.710632,-0.714387,-0.698679,-0.698689,-0.714376,344.678,-0.34617,-0.358476,-0.30973,-0.309732,-0.358474,350.697,0.0303618,0.0108174,0.0912267,0.0912251,0.010819
331.85,-0.710582,-0.714448,-0.698673,-0.698684,-0.714437,344.703,-0.346012,-0.358668,-0.309699,-0.309701,-0.358667,350.724,0.0305279,0.0104708,0.0912798,0.0912781,0.0104724
331.875,-0.710473,-0.714509,-0.698667,-0.698678,-0.714498,344.729,-0.345846,-0.358861,-0.309668,-0.309669,-0.358859,350.752,0.0306774,0.010124,0.0913349,0.0913332,0.0101256
331.9,-0.710343,-0.71457,-0.698661,-0.698672,-0.714559,344.754,-0.345677,-0.359053,-0.309635,-0.309636,-0.359052,350.779,0.0307874,0.00977742,0.091392,0.0913903,0.00977909
331.925,-0.710229,-0.714631,-0.698655,-0.698666,-0.71462,344.78,-0.345518,-0.359246,-0.309601,-0.309603,-0.359244,350.807,0.0309283,0.00943061,0.0914511,0.0914494,0.0094323
331.949,-0.710043,-0.714692,-0.698649,-0.69866,-0.71468,344.805,-0.345331,-0.359439,-0.309566,-0.309568,-0.359437,350.834,0.0311071,0.00908405,0.0915123,0.0915106,0.00908576
331.974,-0.70984,-0.714753,-0.698642,-0.698653,-0.714741,344.831,-0.345135,-0.359631,-0.30953,-0.309532,-0.35963,350.862,0.0313082,0.00873724,0.0915755,0.0915738,0.00873896
331.999,-0.709631,-0.714814,-0.698635,-0.698646,-0.714802,344.856,-0.344893,-0.359824,-0.309493,-0.309495,-0.359822,350.889,0.031488,0.0083903,0.0916408,0.0916391,0.00839205
332.024,-0.709435,-0.714875,-0.698627,-0.698639,-0.714863,344.882,-0.344664,-0.360017,-0.309455,-0.309457,-0.360015,350.917,0.0316387,0.00804336,0.0917082,0.0917065,0.00804513
332.049,-0.70924,-0.714935,-0.69862,-0.698631,-0.714924,344.907,-0.344435,-0.360209,-0.309416,-0.309418,-0.360208,350.944,0.0318155,0.00769655,0.0917777,0.0917759,0.00769834
332.074,-0.708984,-0.714996,-0.698612,-0.698623,-0.714985,344.933,-0.344224,-0.360402,-0.309376,-0.309378,-0.3604,350.972,0.0319962,0.00734973,0.0918492,0.0918474,0.00735155
332.099,-0.708774,-0.715057,-0.698603,-0.698615,-0.715046,344.958,-0.344044,-0.360595,-0.309335,-0.309337,-0.360593,350.999,0.0321932,0.00700305,0.0919228,0.091921,0.00700488
332.124,-0.708583,-0.715118,-0.698595,-0.698606,-0.715106,344.984,-0.343893,-0.360787,-0.309293,-0.309294,-0.360786,351.027,0.0324478,0.00665623,0.0919986,0.0919967,0.00665809
332.149,-0.708403,-0.715179,-0.698586,-0.698598,-0.715167,345.009,-0.343718,-0.36098,-0.309249,-0.309251,-0.360978,351.054,0.0327434,0.00630942,0.0920764,0.0920746,0.0063113
332.174,-0.708234,-0.71524,-0.698576,-0.698588,-0.715228,345.035,-0.343485,-0.361173,-0.309205,-0.309206,-0.361171,351.082,0.0330608,0.00596261,0.0921564,0.0921545,0.00596451
332.199,-0.708118,-0.715301,-0.698567,-0.698579,-0.715289,345.06,-0.343249,-0.361365,-0.309159,-0.309161,-0.361363,351.109,0.0333964,0.0056158,0.0922386,0.0922367,0.00561772
332.224,-0.708007,-0.715362,-0.698557,-0.698569,-0.71535,345.086,-0.343056,-0.361558,-0.309112,-0.309114,-0.361556,351.137,0.033759,0.00526936,0.0923228,0.0923208,0.00527131
332.249,-0.707888,-0.715423,-0.698547,-0.698559,-0.715411,345.112,-0.342872,-0.36175,-0.309065,-0.309066,-0.361749,351.164,0.0341339,0.0049228,0.0924092,0.0924072,0.00492478
