# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
285,-0.279451,-0.27972,0.000268974,-0.27972,282.001,-0.208781,-0.208913,0.000132656,-0.208913,286.001,-0.191513,-0.191478,0,-0.191478
285.002,-0.279458,-0.27972,0.00026149,-0.27972,282.003,-0.208787,-0.208906,0.000118736,-0.208906,286.003,-0.191506,-0.191468,0,-0.191468
285.003,-0.279465,-0.279719,0.000254229,-0.279719,282.005,-0.208795,-0.208899,0.000104138,-0.208899,286.005,-0.191499,-0.191459,0,-0.191459
285.005,-0.279471,-0.279718,0.000247115,-0.279718,282.008,-0.208802,-0.208891,8.90466e-05,-0.208891,286.006,-0.191493,-0.191449,0,-0.191449
285.006,-0.279478,-0.279718,0.000239327,-0.279718,282.01,-0.208811,-0.208884,7.32689e-05,-0.208884,286.008,-0.191486,-0.191439,0,-0.191439
285.008,-0.279485,-0.279717,0.000232113,-0.279717,282.012,-0.20882,-0.208877,5.70207e-05,-0.208877,286.01,-0.19148,-0.191429,0,-0.191429
285.009,-0.279491,-0.279716,0.000225493,-0.279716,282.014,-0.208829,-0.208869,4.03978e-05,-0.208869,286.012,-0.191472,-0.191419,0,-0.191419
285.01,-0.279496,-0.279715,0.000219,-0.279715,282.016,-0.208839,-0.208862,2.3517e-05,-0.208862,286.013,-0.191465,-0.191409,0,-0.191409
285.012,-0.279502,-0.279715,0.000212402,-0.279715,282.018,-0.208849,-0.208855,6.2263e-06,-0.208855,286.015,-0.191457,-0.191399,0,-0.191399
285.013,-0.279508,-0.279714,0.000205581,-0.279714,282.02,-0.208859,-0.208848,0,-0.208848,286.017,-0.191448,-0.19139,0,-0.19139
285.015,-0.279516,-0.279713,0.000197677,-0.279713,282.022,-0.20887,-0.20884,0,-0.20884,286.019,-0.191439,-0.19138,0,-0.19138
285.016,-0.279523,-0.279713,0.000189671,-0.279713,282.024,-0.208881,-0.208833,0,-0.208833,286.02,-0.19143,-0.19137,0,-0.19137
285.018,-0.279531,-0.279712,0.000181087,-0.279712,282.026,-0.208891,-0.208826,0,-0.208826,286.022,-0.191421,-0.19136,0,-0.19136
285.019,-0.279539,-0.279711,0.000172578,-0.279711,282.028,-0.208901,-0.208818,0,-0.208818,286.024,-0.191412,-0.19135,0,-0.19135
285.02,-0.279546,-0.279711,0.000164424,-0.279711,282.031,-0.208911,-0.208811,0,-0.208811,286.026,-0.191403,-0.19134,0,-0.19134
285.022,-0.279554,-0.27971,0.000156141,-0.27971,282.033,-0.208921,-0.208804,0,-0.208804,286.027,-0.191395,-0.19133,0,-0.19133
285.023,-0.279562,-0.279709,0.000147333,-0.279709,282.035,-0.20893,-0.208796,0,-0.208796,286.029,-0.191387,-0.191321,0,-0.191321
285.025,-0.27957,-0.279708,0.000138989,-0.279708,282.037,-0.208939,-0.208789,0,-0.208789,286.031,-0.191379,-0.191311,0,-0.191311
285.026,-0.279577,-0.279708,0.00013112,-0.279708,282.039,-0.208948,-0.208782,0,-0.208782,286.033,-0.191372,-0.191301,0,-0.191301
285.027,-0.279584,-0.279707,0.000123356,-0.279707,282.041,-0.208956,-0.208774,0,-0.208774,286.035,-0.191366,-0.191291,0,-0.191291
285.029,-0.279591,-0.279706,0.000115623,-0.279706,282.043,-0.208964,-0.208767,0,-0.208767,286.036,-0.19136,-0.191281,0,-0.191281
285.03,-0.279598,-0.279706,0.000107813,-0.279706,282.045,-0.208972,-0.20876,0,-0.20876,286.038,-0.191355,-0.191271,0,-0.191271
285.032,-0.279605,-0.279705,0.000100296,-0.279705,282.047,-0.20898,-0.208753,0,-0.208753,286.04,-0.19135,-0.191261,0,-0.191261
285.033,-0.27961,-0.279704,9.38204e-05,-0.279704,282.049,-0.208987,-0.208745,0,-0.208745,286.042,-0.191346,-0.191252,0,-0.191252
285.035,-0.279616,-0.279704,8.78721e-05,-0.279704,282.052,-0.208994,-0.208738,0,-0.208738,286.043,-0.191342,-0.191242,0,-0.191242
285.036,-0.279621,-0.279703,8.18103e-05,-0.279703,282.054,-0.209001,-0.208731,0,-0.208731,286.045,-0.191339,-0.191232,0,-0.191232
285.037,-0.279626,-0.279702,7.6498e-05,-0.279702,282.056,-0.209008,-0.208723,0,-0.208723,286.047,-0.191335,-0.191222,0,-0.191222
285.039,-0.27963,-0.279702,7.17025e-05,-0.279702,282.058,-0.209014,-0.208716,0,-0.208716,286.049,-0.191332,-0.191212,0,-0.191212
285.04,-0.279634,-0.279701,6.69392e-05,-0.279701,282.06,-0.209021,-0.208709,0,-0.208709,286.05,-0.191328,-0.191202,0,-0.191202
285.042,-0.279637,-0.2797,6.27413e-05,-0.2797,282.062,-0.209027,-0.208701,0,-0.208701,286.052,-0.191325,-0.191193,0,-0.191193
285.043,-0.279641,-0.279699,5.8759e-05,-0.279699,282.064,-0.209032,-0.208694,0,-0.208694,286.054,-0.191321,-0.191183,0,-0.191183
285.045,-0.279644,-0.279699,5.47102e-05,-0.279699,282.066,-0.209038,-0.208687,0,-0.208687,286.056,-0.191317,-0.191173,0,-0.191173
285.046,-0.279647,-0.279698,5.11556e-05,-0.279698,282.068,-0.209043,-0.208679,0,-0.208679,286.057,-0.191314,-0.191163,0,-0.191163
285.047,-0.27965,-0.279697,4.75709e-05,-0.279697,282.07,-0.209048,-0.208672,0,-0.208672,286.059,-0.19131,-0.191153,0,-0.191153
285.049,-0.279652,-0.279697,4.42115e-05,-0.279697,282.072,-0.209054,-0.208665,0,-0.208665,286.061,-0.191307,-0.191143,0,-0.191143
285.05,-0.279655,-0.279696,4.10496e-05,-0.279696,282.075,-0.20906,-0.208657,0,-0.208657,286.063,-0.191305,-0.191133,0,-0.191133
285.052,-0.279658,-0.279695,3.73185e-05,-0.279695,282.077,-0.209065,-0.20865,0,-0.20865,286.064,-0.191302,-0.191124,0,-0.191124
285.053,-0.279661,-0.279695,3.36307e-05,-0.279695,282.079,-0.209071,-0.208643,0,-0.208643,286.066,-0.191299,-0.191114,0,-0.191114
285.054,-0.279664,-0.279694,3.02114e-05,-0.279694,282.081,-0.209077,-0.208636,0,-0.208636,286.068,-0.191296,-0.191104,0,-0.191104
285.056,-0.279666,-0.279693,2.70585e-05,-0.279693,282.083,-0.209084,-0.208628,0,-0.208628,286.07,-0.191293,-0.191094,0,-0.191094
285.057,-0.279668,-0.279692,2.42068e-05,-0.279692,282.085,-0.209091,-0.208621,0,-0.208621,286.072,-0.191289,-0.191084,0,-0.191084
285.059,-0.279671,-0.279692,2.10602e-05,-0.279692,282.087,-0.209099,-0.208614,0,-0.208614,286.073,-0.191286,-0.191074,0,-0.191074
285.06,-0.279674,-0.279691,1.7344e-05,-0.279691,282.089,-0.209106,-0.208606,0,-0.208606,286.075,-0.191282,-0.191065,0,-0.191065
