model,delta_Criado_logMSE,RMSE_forward_recon
F1,0.019566490985443174,0.056294347762855294
F2,0.027991855631642863,0.11191531234212222
F3,0.09892644101704157,0.1502974985190588
D1,0.22876172712317538,0.10094783211319851
D2,0.13253625524795112,0.12279127636625477
D3,0.05470030658145256,0.14457745432894187
D4,0.09927698286674982,0.13074094815221907
R2,0.08364655251952526,0.032325402061015814
R3,0.05470030658145257,0.03651748843865308
P2,0.2287617271231753,0.11890866590837605
P3,0.22876172712317538,0.15322720917902596
P4,0.22876172712317538,0.17222970644097757
A2,0.01956649098544319,0.06910571303836634
A3,0.019566490985443153,0.11705850247979072
A4,0.019566490985443167,0.14413341761948661
