model,delta_Criado_logMSE,RMSE_forward_recon
F1,0.006949711882829512,0.07890141686961998
F2,0.1115818180638723,0.12102643713711238
F3,0.24478954580405085,0.14965426200810703
D1,0.08031259302543768,0.12909084841746157
D2,0.028010969265581817,0.14515972599315052
D3,0.0011515861497870658,0.15949258526836882
D4,0.013557704140352815,0.15038636960685467
R2,0.00795886107797818,0.049655368698563795
R3,0.0011515861497870719,0.06003131356170277
P2,0.08031259302543761,0.09122593176869558
P3,0.08031259302543767,0.12960727176003273
P4,0.08031259302543768,0.15074780430524273
A2,0.0069497118828295065,0.043445473012007206
A3,0.006949711882829525,0.09122742481503014
A4,0.0069497118828295195,0.12031176198217862
