model,delta_Criado_logMSE,RMSE_forward_recon
F1,0.008308027560659887,0.12693012158744435
F2,0.10505702625470519,0.16353502437767223
F3,0.23107236166572567,0.18868984761692886
D1,0.09013846765615578,0.17148598668574835
D2,0.034998217116601935,0.1851374801452839
D3,0.005266419069511364,0.1973049554245979
D4,0.01956958687862692,0.189562044863828
R2,0.013475895936482393,0.10139090943320019
R3,0.005266419069511364,0.11058841871333014
P2,0.09013846765615573,0.07768506701266319
P3,0.09013846765615574,0.11678818528771699
P4,0.09013846765615575,0.14087277133285078
A2,0.008308027560659875,0.05060026890087845
A3,0.008308027560659906,0.07644701443980396
A4,0.008308027560659894,0.10494322626849299
