# Forward reconstruction (consistency check), model F1: E=337 kJ/mol, lnA=43.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
507.613,0.0202035,1e-09,520.342,0.0200285,1e-09,524.557,0.0201346,1e-09
507.652,0.0204185,0.000631209,520.387,0.0202017,0.000559253,524.599,0.0203023,0.000414482
507.691,0.0206354,0.00126414,520.432,0.0203766,0.00111994,524.642,0.0204707,0.000829618
507.73,0.0208543,0.00189831,520.477,0.0205532,0.00168168,524.684,0.0206402,0.0012458
507.769,0.021075,0.00253373,520.522,0.0207314,0.00224474,524.727,0.0208106,0.00166304
507.808,0.0212975,0.00317006,520.567,0.0209114,0.00280937,524.769,0.0209818,0.00208103
507.847,0.0215212,0.00380763,520.612,0.021093,0.00337518,524.811,0.0211539,0.00249988
507.886,0.0217461,0.00444628,520.657,0.0212765,0.00394257,524.854,0.0213269,0.00291968
507.925,0.021972,0.00508601,520.702,0.0214618,0.00451115,524.896,0.0215006,0.00334015
507.963,0.0221993,0.00572698,520.747,0.0216489,0.00508105,524.939,0.0216754,0.00376207
508.002,0.0224281,0.00636887,520.793,0.0218377,0.00565241,524.981,0.021851,0.00418465
508.041,0.0226587,0.0070125,520.838,0.0220284,0.00622522,525.024,0.0220277,0.00460819
508.08,0.022891,0.00765722,520.883,0.0222206,0.00679924,525.066,0.0222053,0.005033
508.119,0.0231254,0.00830335,520.928,0.0224143,0.00737432,525.108,0.0223837,0.00545867
508.158,0.0233618,0.00895106,520.973,0.0226097,0.00795113,525.151,0.0225632,0.00588552
508.197,0.0236002,0.00960019,521.018,0.0228066,0.00852927,525.193,0.0227433,0.00631293
508.236,0.0238405,0.0102506,521.063,0.0230048,0.00910888,525.236,0.0229245,0.00674171
508.275,0.0240827,0.0109022,521.108,0.0232043,0.00968983,525.278,0.0231064,0.00717126
508.314,0.0243267,0.0115548,521.153,0.023405,0.0102724,525.321,0.0232893,0.0076023
508.353,0.0245725,0.0122093,521.198,0.0236068,0.0108565,525.363,0.0234729,0.00803411
508.392,0.0248198,0.0128654,521.243,0.0238094,0.0114418,525.406,0.0236573,0.0084669
508.431,0.0250689,0.0135227,521.288,0.0240127,0.0120281,525.448,0.0238424,0.00890077
508.47,0.02532,0.0141815,521.333,0.0242166,0.0126158,525.491,0.0240281,0.00933552
508.509,0.025573,0.0148413,521.378,0.0244212,0.0132048,525.533,0.0242149,0.00977166
508.548,0.0258279,0.0155022,521.423,0.0246265,0.0137951,525.576,0.0244023,0.0102086
508.587,0.0260847,0.0161645,521.469,0.0248326,0.0143867,525.618,0.0245907,0.0106465
508.626,0.026343,0.0168278,521.514,0.0250396,0.0149798,525.661,0.0247799,0.0110854
508.665,0.0266031,0.0174925,521.559,0.0252473,0.0155742,525.703,0.0249701,0.0115251
508.704,0.0268652,0.0181582,521.604,0.0254559,0.0161703,525.745,0.0251612,0.0119659
508.743,0.027129,0.0188248,521.649,0.0256652,0.0167674,525.788,0.0253532,0.0124077
508.782,0.0273949,0.0194928,521.694,0.0258752,0.0173655,525.83,0.0255463,0.0128506
508.821,0.0276633,0.0201621,521.739,0.0260861,0.017965,525.873,0.0257401,0.0132941
508.86,0.027934,0.0208327,521.784,0.026298,0.0185662,525.915,0.025935,0.0137386
508.899,0.0282066,0.0215043,521.829,0.0265108,0.0191686,525.958,0.026131,0.0141844
508.938,0.0284809,0.022177,521.874,0.0267244,0.0197722,526,0.0263279,0.0146308
508.977,0.0287569,0.0228507,521.919,0.026939,0.0203775,526.043,0.0265259,0.0150782
