# Forward reconstruction (consistency check), model R3: E=344 kJ/mol, lnA=58.6. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
331.103,0.0200472,1e-09,342.297,0.0200302,1e-09,348.555,0.0200635,1e-09
331.137,0.0201608,0.000305939,342.329,0.0201438,0.000335401,348.587,0.0201771,0.000393078
331.171,0.0202751,0.000612995,342.361,0.0202581,0.000671905,348.619,0.0202914,0.000787394
331.205,0.02039,0.00092117,342.393,0.020373,0.00100952,348.651,0.0204063,0.00118295
331.239,0.0205056,0.00123047,342.425,0.0204886,0.00134824,348.683,0.0205219,0.00157976
331.273,0.0206218,0.0015409,342.457,0.0206048,0.00168807,348.715,0.0206381,0.00197782
331.307,0.0207387,0.00185246,342.489,0.0207218,0.00202902,348.746,0.020755,0.00237713
331.341,0.0208563,0.00216515,342.521,0.0208393,0.00237109,348.778,0.0208726,0.00277769
331.374,0.0209746,0.00247899,342.553,0.0209576,0.00271428,348.81,0.0209909,0.00317952
331.408,0.0210935,0.00279396,342.586,0.0210765,0.0030586,348.842,0.0211098,0.00358261
331.442,0.0212131,0.00311009,342.618,0.0211962,0.00340405,348.874,0.0212294,0.00398697
331.476,0.0213334,0.00342736,342.65,0.0213165,0.00375063,348.906,0.0213497,0.00439259
331.51,0.0214544,0.00374579,342.682,0.0214375,0.00409835,348.937,0.0214707,0.0047995
331.544,0.0215761,0.00406537,342.714,0.0215592,0.0044472,348.969,0.0215924,0.00520768
331.578,0.0216985,0.00438612,342.746,0.0216815,0.0047972,349.001,0.0217148,0.00561714
331.612,0.0218216,0.00470804,342.778,0.0218046,0.00514835,349.033,0.0218379,0.00602788
331.646,0.0219454,0.00503112,342.81,0.0219284,0.00550064,349.065,0.0219617,0.00643992
331.68,0.0220699,0.00535538,342.842,0.0220529,0.00585409,349.097,0.0220862,0.00685324
331.714,0.0221951,0.00568081,342.874,0.0221782,0.00620869,349.129,0.0222114,0.00726786
331.748,0.0223211,0.00600742,342.906,0.0223041,0.00656446,349.16,0.0223374,0.00768378
331.782,0.0224477,0.00633522,342.939,0.0224308,0.00692138,349.192,0.022464,0.008101
331.816,0.0225751,0.00666421,342.971,0.0225582,0.00727947,349.224,0.0225914,0.00851952
331.85,0.0227032,0.00699439,343.003,0.0226863,0.00763873,349.256,0.0227195,0.00893936
331.883,0.0228321,0.00732577,343.035,0.0228152,0.00799917,349.288,0.0228484,0.00936051
331.917,0.0229617,0.00765834,343.067,0.0229448,0.00836077,349.32,0.022978,0.00978297
