# Forward reconstruction (consistency check), model R3: E=481 kJ/mol, lnA=94.7. T (C), alpha experimental and modelled for each beta.
T_C_1K,alpha_exp_1K,alpha_model_1K,T_C_3K,alpha_exp_3K,alpha_model_3K,T_C_5K,alpha_exp_5K,alpha_model_5K
290.259,0.0200029,1e-09,298.272,0.0200042,9.99996e-10,297.559,0.0200132,9.99998e-10
290.261,0.0200211,8.97577e-05,298.274,0.0200315,0.000186596,297.561,0.0200324,8.22164e-05
290.262,0.0200394,0.000179532,298.277,0.0200587,0.000372348,297.563,0.0200517,0.000164923
290.263,0.0200575,0.000268692,298.279,0.020086,0.000558147,297.564,0.0200711,0.00024765
290.265,0.0200758,0.000358502,298.281,0.0201132,0.00074399,297.566,0.0200904,0.000330399
290.266,0.0200941,0.00044833,298.283,0.0201406,0.00092988,297.568,0.0201098,0.00041317
290.268,0.0201124,0.000538176,298.285,0.0201679,0.00111582,297.57,0.0201292,0.000495961
290.269,0.0201308,0.00062804,298.287,0.0201954,0.00130269,297.571,0.0201485,0.000578303
290.27,0.020149,0.000717288,298.289,0.0202228,0.00148871,297.573,0.020168,0.000661137
290.272,0.0201673,0.000807188,298.291,0.0202503,0.00167479,297.575,0.0201874,0.000743993
290.273,0.0201857,0.000897105,298.293,0.0202777,0.0018609,297.577,0.0202069,0.000826869
290.275,0.0202041,0.00098704,298.295,0.0203053,0.00204707,297.578,0.0202264,0.000909767
290.276,0.0202223,0.00107636,298.297,0.0203329,0.00223417,297.58,0.0202459,0.000992686
290.278,0.0202407,0.00116633,298.3,0.0203605,0.00242043,297.582,0.0202653,0.00107516
290.279,0.0202591,0.00125632,298.302,0.0203881,0.00260673,297.584,0.0202848,0.00115812
290.28,0.0202775,0.00134632,298.304,0.0204159,0.00279397,297.586,0.0203044,0.0012411
290.282,0.0202958,0.00143571,298.306,0.0204436,0.00298036,297.587,0.0203239,0.0013241
290.283,0.0203143,0.00152576,298.308,0.0204714,0.00316769,297.589,0.0203435,0.00140713
290.285,0.0203327,0.00161582,298.31,0.0204992,0.00335418,297.591,0.0203631,0.00149018
290.286,0.0203512,0.00170589,298.312,0.0205269,0.00354071,297.593,0.0203826,0.00157277
290.287,0.0203696,0.00179599,298.314,0.0205549,0.00372818,297.594,0.0204022,0.00165586
290.289,0.020388,0.00188547,298.316,0.0205827,0.0039148,297.596,0.0204219,0.00173897
290.29,0.0204065,0.0019756,298.318,0.0206106,0.00410147,297.598,0.0204416,0.00182211
290.292,0.020425,0.00206575,298.32,0.0206385,0.00428818,297.6,0.0204612,0.00190526
290.293,0.0204435,0.00215592,298.323,0.0206665,0.00447494,297.601,0.0204809,0.00198844
290.295,0.020462,0.0022461,298.325,0.0206946,0.00466264,297.603,0.0205006,0.00207116
290.296,0.0204805,0.0023363,298.327,0.0207226,0.00484949,297.605,0.0205203,0.00215438
290.297,0.0204991,0.00242652,298.329,0.0207506,0.00503639,297.607,0.02054,0.00223762
290.299,0.0205175,0.00251613,298.331,0.0207788,0.00522423,297.608,0.0205598,0.00232088
290.3,0.0205361,0.00260638,298.333,0.0208069,0.00541122,297.61,0.0205796,0.00240416
290.302,0.0205546,0.00269666,298.335,0.0208351,0.00559825,297.612,0.0205994,0.00248746
290.303,0.0205732,0.00278695,298.337,0.0208632,0.00578533,297.614,0.0206192,0.00257079
290.304,0.0205918,0.00287726,298.339,0.0208916,0.00597335,297.615,0.0206391,0.00265413
290.306,0.0206104,0.00296759,298.341,0.0209198,0.00616053,297.617,0.0206589,0.0027375
290.307,0.020629,0.00305793,298.344,0.0209481,0.00634774,297.619,0.0206788,0.00282089
290.309,0.0206476,0.0031483,298.346,0.0209764,0.00653501,297.621,0.0206987,0.0029043
290.31,0.0206662,0.00323868,298.348,0.0210047,0.00672232,297.622,0.0207186,0.00298773
290.312,0.0206848,0.00332908,298.35,0.0210332,0.00691057,297.624,0.0207385,0.00307118
290.313,0.0207034,0.00341886,298.352,0.0210616,0.00709797,297.626,0.0207583,0.00315418
290.314,0.020722,0.00350929,298.354,0.02109,0.00728542,297.628,0.0207783,0.00323768
290.316,0.0207407,0.00359975,298.356,0.0211186,0.00747381,297.629,0.0207983,0.0033212
290.317,0.0207594,0.00369022,298.358,0.0211471,0.00766135,297.631,0.0208183,0.00340473
290.319,0.020778,0.00378071,298.36,0.0211757,0.00784893,297.633,0.0208383,0.00348829
290.32,0.0207967,0.00387122,298.362,0.0212044,0.00803746,297.635,0.0208582,0.0035714
290.322,0.0208154,0.00396174,298.364,0.021233,0.00822514,297.636,0.0208782,0.003655
290.323,0.0208342,0.00405228,298.367,0.0212616,0.00841286,297.638,0.0208983,0.00373863
290.324,0.0208529,0.00414284,298.369,0.0212903,0.00860063,297.64,0.0209184,0.00382227
290.326,0.0208716,0.00423342,298.371,0.0213191,0.00878934,297.642,0.0209385,0.00390594
290.327,0.0208904,0.00432402,298.373,0.0213478,0.0089772,297.644,0.0209586,0.00398963
290.329,0.0209091,0.00441463,298.375,0.0213766,0.0091651,297.645,0.0209786,0.00407286
290.33,0.0209279,0.00450527,298.377,0.0214055,0.00935395,297.647,0.0209988,0.00415659
290.331,0.0209467,0.00459592,298.379,0.0214344,0.00954195,297.649,0.0210189,0.00424035
290.333,0.0209654,0.00468595,298.381,0.0214632,0.00972999,297.651,0.021039,0.00432364
290.334,0.0209842,0.00477663,298.383,0.0214923,0.00991898,297.652,0.0210592,0.00440744
290.336,0.0210031,0.00486797,298.385,0.0215212,0.0101071,297.654,0.0210794,0.00449126
290.337,0.0210218,0.00495806,298.387,0.0215503,0.0102962,297.656,0.0210996,0.0045751
290.339,0.0210407,0.0050488,298.39,0.0215793,0.0104844,297.658,0.0211199,0.00465896
290.34,0.0210595,0.00513956,298.392,0.0216084,0.0106736,297.659,0.0211401,0.00474284
290.341,0.0210784,0.00523033,298.394,0.0216375,0.0108619,297.661,0.0211603,0.00482626
290.343,0.0210973,0.00532113,298.396,0.0216667,0.0110512,297.663,0.0211806,0.00491019
290.344,0.0211162,0.00541194,298.398,0.0216958,0.0112396,297.665,0.0212009,0.00499413
290.346,0.0211351,0.00550277,298.4,0.021725,0.011428,297.666,0.0212213,0.0050781
290.347,0.0211541,0.00559361,298.402,0.0217543,0.0116174,297.668,0.0212416,0.00516209
290.348,0.021173,0.00568448,298.404,0.0217835,0.011806,297.67,0.0212619,0.00524562
290.35,0.021192,0.00577536,298.406,0.0218129,0.0119955,297.672,0.0212822,0.00532965
290.351,0.0212109,0.00586627,298.408,0.0218422,0.0121841,297.673,0.0213026,0.00541371
290.353,0.0212299,0.00595719,298.411,0.0218715,0.0123728,297.675,0.0213229,0.0054973
290.354,0.0212489,0.00604812,298.413,0.021901,0.0125624,297.677,0.0213434,0.0055814
