# Friedman isoconversional lines: points (1000/T, ln dalpha/dt) and linear fit per alpha.
alpha,beta_K/min,T_K,inv1000T_1/K,ln_dadt,fit_slope,fit_intercept,Ea_kJ/mol
0.1,1,788.5,1.26823,-8.23184,-40.81,43.4893,339.295
0.1,3,804.494,1.24302,-7.43571,-40.81,43.4893,339.295
0.1,5,808.072,1.23751,-6.85157,-40.81,43.4893,339.295
0.2,1,793.205,1.26071,-7.70979,-38.1741,40.396,317.38
0.2,3,810.677,1.23354,-6.82056,-38.1741,40.396,317.38
0.2,5,814.15,1.22828,-6.38561,-38.1741,40.396,317.38
0.3,1,796.411,1.25563,-7.43164,-36.806,38.7717,306.005
0.3,3,814.475,1.22778,-6.48202,-36.806,38.7717,306.005
0.3,5,818.506,1.22174,-6.14295,-36.806,38.7717,306.005
0.4,1,798.994,1.25157,-7.27154,-36.7265,38.6862,305.344
0.4,3,817.417,1.22337,-6.28544,-36.7265,38.6862,305.344
0.4,5,822.035,1.21649,-5.95779,-36.7265,38.6862,305.344
0.5,1,801.298,1.24798,-7.20649,-37.3443,39.3909,310.481
0.5,3,819.95,1.21959,-6.18906,-37.3443,39.3909,310.481
0.5,5,825.058,1.21204,-5.84392,-37.3443,39.3909,310.481
0.6,1,803.584,1.24442,-7.26491,-39.4852,41.8648,328.28
0.6,3,822.36,1.21601,-6.17941,-39.4852,41.8648,328.28
0.6,5,827.851,1.20795,-5.808,-39.4852,41.8648,328.28
0.7,1,806.207,1.24038,-7.47809,-44.3501,47.5285,368.727
0.7,3,824.848,1.21234,-6.25751,-44.3501,47.5285,368.727
0.7,5,830.663,1.20386,-5.84871,-44.3501,47.5285,368.727
0.8,1,809.541,1.23527,-7.69852,-47.0236,50.3835,390.954
0.8,3,827.7,1.20817,-6.44834,-47.0236,50.3835,390.954
0.8,5,833.757,1.19939,-6.00151,-47.0236,50.3835,390.954
0.9,1,813.588,1.22912,-7.9358,-45.5894,48.0919,379.031
0.9,3,831.363,1.20284,-6.77401,-45.5894,48.0919,379.031
0.9,5,837.63,1.19384,-6.31331,-45.5894,48.0919,379.031
