# Friedman isoconversional lines: points (1000/T, ln dalpha/dt) and linear fit per alpha.
alpha,beta_K/min,T_K,inv1000T_1/K,ln_dadt,fit_slope,fit_intercept,Ea_kJ/mol
0.1,1,566.083,1.76652,-6.9293,-51.9877,84.913,432.226
0.1,3,574.078,1.74192,-5.81133,-51.9877,84.913,432.226
0.1,5,573.852,1.74261,-5.51072,-51.9877,84.913,432.226
0.2,1,567.272,1.76282,-6.26346,-51.9059,85.2363,431.546
0.2,3,575.217,1.73848,-5.09334,-51.9059,85.2363,431.546
0.2,5,575.329,1.73814,-4.89209,-51.9059,85.2363,431.546
0.3,1,568.008,1.76054,-5.94557,-52.9649,87.2989,440.35
0.3,3,575.886,1.73645,-4.723,-52.9649,87.2989,440.35
0.3,5,576.262,1.73532,-4.5638,-52.9649,87.2989,440.35
0.4,1,568.592,1.75873,-5.78429,-55.2352,91.358,459.225
0.4,3,576.385,1.73495,-4.49523,-55.2352,91.358,459.225
0.4,5,576.978,1.73317,-4.35265,-55.2352,91.358,459.225
0.5,1,569.11,1.75713,-5.70527,-58.159,96.4876,483.534
0.5,3,576.799,1.73371,-4.34379,-58.159,96.4876,483.534
0.5,5,577.578,1.73137,-4.20654,-58.159,96.4876,483.534
0.6,1,569.602,1.75561,-5.67433,-61.2092,101.788,508.894
0.6,3,577.164,1.73261,-4.24469,-61.2092,101.788,508.894
0.6,5,578.108,1.72978,-4.10832,-61.2092,101.788,508.894
0.7,1,570.087,1.75412,-5.68153,-63.9198,106.446,531.429
0.7,3,577.503,1.73159,-4.19792,-63.9198,106.446,531.429
0.7,5,578.601,1.72831,-4.06076,-63.9198,106.446,531.429
0.8,1,570.587,1.75258,-5.73398,-64.7864,107.817,538.634
0.8,3,577.84,1.73058,-4.24733,-64.7864,107.817,538.634
0.8,5,579.09,1.72685,-4.10493,-64.7864,107.817,538.634
0.9,1,571.139,1.75089,-5.9073,-57.751,95.2109,480.142
0.9,3,578.246,1.72937,-4.64474,-57.751,95.2109,480.142
0.9,5,579.664,1.72514,-4.43173,-57.751,95.2109,480.142
