# Kinetic compensation effect (model R3): points (Ea, lnA) by method.
Ea_Friedman_kJ/mol,lnA_Friedman,Ea_KAS_kJ/mol,lnA_KAS,Ea_OFW_kJ/mol,lnA_OFW,Ea_Starink_kJ/mol,lnA_Starink
313.243,51.8756,290.714,50.9234,286.164,50.1984,290.893,51.5181
322.228,53.9501,299.271,52.9433,294.363,52.174,299.445,53.5385
327.66,55.194,304.451,54.1575,299.325,53.3618,304.622,54.753
331.638,56.0985,308.246,55.0424,302.96,54.2278,308.415,55.6381
334.824,56.8183,311.286,55.7482,305.872,54.9185,311.454,56.344
337.515,57.4226,313.855,56.3421,308.332,55.4997,314.022,56.9381
339.872,57.9487,316.105,56.8603,310.487,56.0069,316.271,57.4564
341.992,58.419,318.13,57.3247,312.426,56.4615,318.295,57.9209
343.94,58.8483,319.99,57.7498,314.207,56.8776,320.154,58.3461
345.763,59.247,321.731,58.1459,315.874,57.2654,321.894,58.7423
347.495,59.6232,323.386,58.521,317.458,57.6325,323.548,59.1175
349.167,59.9832,324.983,58.8814,318.987,57.9853,325.144,59.478
350.806,60.3326,326.549,59.233,320.486,58.3295,326.709,59.8297
352.44,60.677,328.109,59.5817,321.98,58.6708,328.269,60.1784
354.1,61.0223,329.696,59.934,323.499,59.0156,329.855,60.5308
355.831,61.3761,331.35,60.2987,325.082,59.3725,331.508,60.8955
357.702,61.7497,333.138,60.6893,326.794,59.7549,333.295,61.2863
359.848,62.1639,335.189,61.1322,328.757,60.1883,335.344,61.7293
362.644,62.6716,337.861,61.6989,331.315,60.7427,338.016,62.2961
