# Kinetic compensation effect (model R3): points (Ea, lnA) by method.
Ea_Friedman_kJ/mol,lnA_Friedman,Ea_KAS_kJ/mol,lnA_KAS,Ea_OFW_kJ/mol,lnA_OFW,Ea_Starink_kJ/mol,lnA_Starink
436.397,84.2491,450.26,90.0342,437.078,88.2827,450.278,90.6217
432.226,83.8847,450.591,90.6038,437.411,88.8551,450.609,91.1915
430.921,83.9297,450.966,90.9827,437.779,89.2349,450.984,91.5705
431.546,84.2864,451.372,91.2863,438.173,89.5385,451.391,91.8741
435.116,85.205,451.815,91.5523,438.601,89.804,451.833,92.1402
440.35,86.438,452.382,91.8159,439.146,90.0663,452.401,92.4039
449.577,88.4825,453.182,92.1089,439.911,90.357,453.2,92.697
459.225,90.5999,454.281,92.4509,440.961,90.6952,454.298,93.039
471.036,93.1576,455.669,92.8434,442.285,91.0825,455.685,93.4315
483.534,95.8511,457.402,93.3007,443.937,91.5333,457.417,93.8889
496.315,98.5982,459.466,93.8218,445.903,92.0463,459.48,94.41
508.894,101.3,461.858,94.4076,448.181,92.6226,461.87,94.9958
521.11,103.924,464.572,95.0579,450.765,93.2622,464.582,95.6462
531.429,106.15,467.577,95.768,453.626,93.9603,467.585,96.3563
538.51,107.7,470.807,96.5248,456.7,94.7042,470.812,97.113
538.634,107.792,474.154,97.3072,459.887,95.4735,474.157,97.8955
523.55,104.693,477.242,98.0379,462.827,96.1922,477.243,98.6262
480.142,95.6473,479.137,98.523,464.632,96.6704,479.136,99.1113
391.266,76.9939,476.787,98.1249,462.405,96.2834,476.788,98.7133
